Date,Median_Listing_Price,State
2010-01,169900,Alabama
2010-01,239900,Alaska
2010-01,142000,Arkansas
2010-01,248500,Colorado
2010-01,234900,Delaware
2010-01,294000,District of Columbia
2010-01,489000,Hawaii
2010-01,154900,Idaho
2010-01,124900,Indiana
2010-01,136900,Iowa
2010-01,149900,Kansas
2010-01,149900,Kentucky
2010-01,172900,Louisiana
2010-01,209900,Maine
2010-01,245000,Maryland
2010-01,289900,Massachusetts
2010-01,169900,Minnesota
2010-01,154800,Mississippi
2010-01,140000,Missouri
2010-01,254900,Montana
2010-01,249000,New Hampshire
2010-01,226500,New Mexico
2010-01,189900,North Carolina
2010-01,139900,Oklahoma
2010-01,225750,Oregon
2010-01,169900,Pennsylvania
2010-01,259000,Rhode Island
2010-01,189000,South Carolina
2010-01,174900,South Dakota
2010-01,159800,Tennessee
2010-01,160000,Texas
2010-01,249900,Vermont
2010-01,230000,Virginia
2010-01,259900,Washington
2010-01,150000,West Virginia
2010-01,219900,Wyoming
2010-02,169900,Alabama
2010-02,241250,Alaska
2010-02,142500,Arkansas
2010-02,244000,Colorado
2010-02,232900,Delaware
2010-02,299000,District of Columbia
2010-02,485000,Hawaii
2010-02,156900,Idaho
2010-02,125000,Indiana
2010-02,138000,Iowa
2010-02,149900,Kansas
2010-02,149755,Kentucky
2010-02,170000,Louisiana
2010-02,205000,Maine
2010-02,246000,Maryland
2010-02,304900,Massachusetts
2010-02,169900,Minnesota
2010-02,154900,Mississippi
2010-02,141500,Missouri
2010-02,249900,Montana
2010-02,239999,New Hampshire
2010-02,225000,New Mexico
2010-02,189900,North Carolina
2010-02,139900,Oklahoma
2010-02,224900,Oregon
2010-02,169900,Pennsylvania
2010-02,250000,Rhode Island
2010-02,185000,South Carolina
2010-02,169900,South Dakota
2010-02,159000,Tennessee
2010-02,161000,Texas
2010-02,249900,Vermont
2010-02,231233,Virginia
2010-02,259000,Washington
2010-02,150000,West Virginia
2010-02,210000,Wyoming
2010-03,169500,Alabama
2010-03,248000,Alaska
2010-03,139900,Arkansas
2010-03,240000,Colorado
2010-03,285000,Connecticut
2010-03,230000,Delaware
2010-03,315000,District of Columbia
2010-03,469000,Hawaii
2010-03,153990,Idaho
2010-03,127000,Indiana
2010-03,139900,Iowa
2010-03,150000,Kansas
2010-03,148999,Kentucky
2010-03,170000,Louisiana
2010-03,2.00E+05,Maine
2010-03,245000,Maryland
2010-03,299900,Massachusetts
2010-03,169900,Minnesota
2010-03,150000,Mississippi
2010-03,140000,Missouri
2010-03,249000,Montana
