Date,State,Median_Listing_Price
2013-11,Alabama,164900
2013-12,Alabama,164900
2014-01,Alabama,163900
2014-02,Alabama,167000
2014-03,Alabama,169900
2014-04,Alabama,169900
2014-05,Alabama,173250
2014-06,Alabama,174900
2014-07,Alabama,174900
2014-08,Alabama,171900
2014-09,Alabama,169900
2014-10,Alabama,169900
2014-11,Alabama,169900
2014-12,Alabama,165000
2015-01,Alabama,169900
2015-02,Alabama,169900
2015-03,Alabama,171000
2015-04,Alabama,175000
2015-05,Alabama,174900
2015-06,Alabama,174900
2015-07,Alabama,174500
2015-08,Alabama,173450
2015-09,Alabama,175000
2015-10,Alabama,174500
2015-11,Alabama,173000
2015-12,Alabama,171900
2016-01,Alabama,170000
2016-02,Alabama,169900
2016-03,Alabama,174118
2016-04,Alabama,177645
2016-05,Alabama,178075
2016-06,Alabama,179000
2016-07,Alabama,178500
2016-08,Alabama,175900
2016-09,Alabama,175000
2016-10,Alabama,174900
2016-11,Alabama,175000
2016-12,Alabama,174900
2017-01,Alabama,174900
2017-02,Alabama,178000
2017-03,Alabama,179999
2017-04,Alabama,189900
2017-05,Alabama,189900
2017-06,Alabama,189900
2017-07,Alabama,190000
2017-08,Alabama,189900
2017-09,Alabama,193900
2017-10,Alabama,192394
2017-11,Alabama,189900
2017-12,Alabama,189000
