Date,State,Median_Listing_Price
1/31/2010,Alaska,239900.0
2/28/2010,Alaska,241250.0
3/31/2010,Alaska,248000.0
4/30/2010,Alaska,249000.0
5/31/2010,Alaska,251900.0
6/30/2010,Alaska,254975.0
7/31/2010,Alaska,249900.0
8/31/2010,Alaska,249900.0
9/30/2010,Alaska,251000.0
10/31/2010,Alaska,248900.0
11/30/2010,Alaska,233700.0
12/31/2010,Alaska,229900.0
1/31/2011,Alaska,225000.0
2/28/2011,Alaska,229000.0
3/31/2011,Alaska,234949.5
4/30/2011,Alaska,239000.0
5/31/2011,Alaska,242000.0
6/30/2011,Alaska,242000.0
7/31/2011,Alaska,242900.0
8/31/2011,Alaska,239900.0
9/30/2011,Alaska,239000.0
10/31/2011,Alaska,234000.0
11/30/2011,Alaska,229900.0
12/31/2011,Alaska,228500.0
1/31/2012,Alaska,229000.0
2/29/2012,Alaska,228000.0
3/31/2012,Alaska,225900.0
4/30/2012,Alaska,229000.0
5/31/2012,Alaska,229900.0
6/30/2012,Alaska,229000.0
7/31/2012,Alaska,225000.0
8/31/2012,Alaska,229000.0
9/30/2012,Alaska,225000.0
10/31/2012,Alaska,223500.0
11/30/2012,Alaska,235000.0
12/31/2012,Alaska,234900.0
1/31/2013,Alaska,235000.0
2/28/2013,Alaska,239000.0
3/31/2013,Alaska,243950.0
4/30/2013,Alaska,248000.0
5/31/2013,Alaska,249000.0
6/30/2013,Alaska,243500.0
7/31/2013,Alaska,249000.0
8/31/2013,Alaska,249000.0
9/30/2013,Alaska,247000.0
10/31/2013,Alaska,245900.0
11/30/2013,Alaska,239900.0
12/31/2013,Alaska,239900.0
1/31/2014,Alaska,239500.0
2/28/2014,Alaska,247130.0
3/31/2014,Alaska,249000.0
4/30/2014,Alaska,250000.0
5/31/2014,Alaska,250000.0
6/30/2014,Alaska,255900.0
7/31/2014,Alaska,250000.0
8/31/2014,Alaska,250000.0
9/30/2014,Alaska,249000.0
10/31/2014,Alaska,249000.0
11/30/2014,Alaska,243000.0
12/31/2014,Alaska,242000.0
1/31/2015,Alaska,248250.0
2/28/2015,Alaska,249900.0
3/31/2015,Alaska,259500.0
4/30/2015,Alaska,259900.0
5/31/2015,Alaska,261900.0
6/30/2015,Alaska,260000.0
7/31/2015,Alaska,265000.0
8/31/2015,Alaska,265000.0
9/30/2015,Alaska,265000.0
10/31/2015,Alaska,268000.0
11/30/2015,Alaska,269000.0
12/31/2015,Alaska,265000.0
1/31/2016,Alaska,265000.0
2/29/2016,Alaska,274500.0
3/31/2016,Alaska,275000.0
4/30/2016,Alaska,279900.0
5/31/2016,Alaska,279825.0
6/30/2016,Alaska,279900.0
7/31/2016,Alaska,279000.0
8/31/2016,Alaska,279000.0
9/30/2016,Alaska,279000.0
10/31/2016,Alaska,275000.0
11/30/2016,Alaska,273900.0
12/31/2016,Alaska,269900.0
1/31/2017,Alaska,265000.0
2/28/2017,Alaska,266950.0
3/31/2017,Alaska,270000.0
4/30/2017,Alaska,275000.0
5/31/2017,Alaska,279000.0
6/30/2017,Alaska,276000.0
7/31/2017,Alaska,275000.0
8/31/2017,Alaska,275000.0
9/30/2017,Alaska,275000.0
10/31/2017,Alaska,275000.0
11/30/2017,Alaska,273000.0
12/31/2017,Alaska,269900.0
