Date,State,Median_Listing_Price
2013-11,Arizona,214900
2013-12,Arizona,215000
2014-01,Arizona,214900
2014-02,Arizona,217500
2014-03,Arizona,220000
2014-04,Arizona,224990
2014-05,Arizona,226900
2014-06,Arizona,226000
2014-07,Arizona,225000
2014-08,Arizona,225000
2014-09,Arizona,225990
2014-10,Arizona,228000
2014-11,Arizona,224900
2014-12,Arizona,222000
2015-01,Arizona,227500
2015-02,Arizona,232210
2015-03,Arizona,237000
2015-04,Arizona,239950
2015-05,Arizona,245000
2015-06,Arizona,245000
2015-07,Arizona,239900
2015-08,Arizona,245000
2015-09,Arizona,245000
2015-10,Arizona,249000
2015-11,Arizona,249899
2015-12,Arizona,248900
2016-01,Arizona,249008
2016-02,Arizona,249000
2016-03,Arizona,249900
2016-04,Arizona,254000
2016-05,Arizona,255000
2016-06,Arizona,257990
2016-07,Arizona,255000
2016-08,Arizona,254543
2016-09,Arizona,255000
2016-10,Arizona,255000
2016-11,Arizona,255000
2016-12,Arizona,254900
2017-01,Arizona,255000
2017-02,Arizona,259900
2017-03,Arizona,260000
2017-04,Arizona,267000
2017-05,Arizona,269500
2017-06,Arizona,269000
2017-07,Arizona,269000
2017-08,Arizona,269000
2017-09,Arizona,269900
2017-10,Arizona,269990
2017-11,Arizona,270000
2017-12,Arizona,270000
