Date,State,Median_Listing_Price
2013-11,Arkansas,139900
2013-12,Arkansas,139900
2014-01,Arkansas,139500
2014-02,Arkansas,139900
2014-03,Arkansas,139900
2014-04,Arkansas,141900
2014-05,Arkansas,143400
2014-06,Arkansas,145000
2014-07,Arkansas,145000
2014-08,Arkansas,145000
2014-09,Arkansas,145000
2014-10,Arkansas,145000
2014-11,Arkansas,144900
2014-12,Arkansas,144000
2015-01,Arkansas,144900
2015-02,Arkansas,147000
2015-03,Arkansas,149500
2015-04,Arkansas,149000
2015-05,Arkansas,153000
2015-06,Arkansas,154500
2015-07,Arkansas,155000
2015-08,Arkansas,153500
2015-09,Arkansas,150000
2015-10,Arkansas,150100
2015-11,Arkansas,149900
2015-12,Arkansas,149900
2016-01,Arkansas,149900
2016-02,Arkansas,149900
2016-03,Arkansas,150000
2016-04,Arkansas,151425
2016-05,Arkansas,155900
2016-06,Arkansas,157000
2016-07,Arkansas,158500
2016-08,Arkansas,155000
2016-09,Arkansas,154500
2016-10,Arkansas,152500
2016-11,Arkansas,149900
2016-12,Arkansas,149900
2017-01,Arkansas,149900
2017-02,Arkansas,150975
2017-03,Arkansas,155000
2017-04,Arkansas,159500
2017-05,Arkansas,159900
2017-06,Arkansas,160000
2017-07,Arkansas,164500
2017-08,Arkansas,162000
2017-09,Arkansas,164900
2017-10,Arkansas,164900
2017-11,Arkansas,163900
2017-12,Arkansas,159900
