Date,State,Median_Listing_Price
2013-11,California,399000
2013-12,California,398500
2014-01,California,385000
2014-02,California,394500
2014-03,California,399900
2014-04,California,419900
2014-05,California,424900
2014-06,California,428888
2014-07,California,429000
2014-08,California,425000
2014-09,California,419900
2014-10,California,415000
2014-11,California,399900
2014-12,California,381000
2015-01,California,399000
2015-02,California,410000
2015-03,California,424900
2015-04,California,429900
2015-05,California,445000
2015-06,California,449000
2015-07,California,445000
2015-08,California,449000
2015-09,California,449900
2015-10,California,449900
2015-11,California,449000
2015-12,California,444450
2016-01,California,439950
2016-02,California,449900
2016-03,California,459999
2016-04,California,475000
2016-05,California,479900
2016-06,California,485000
2016-07,California,485000
2016-08,California,479900
2016-09,California,479900
2016-10,California,479800
2016-11,California,475000
2016-12,California,465000
2017-01,California,468000
2017-02,California,475000
2017-03,California,494500
2017-04,California,499900
2017-05,California,499999
2017-06,California,499900
2017-07,California,499950
2017-08,California,499900
2017-09,California,499950
2017-10,California,499990
2017-11,California,499000
2017-12,California,495000
