Date,State,Median_Listing_Price
2013-11,Colorado,285000
2013-12,Colorado,289900
2014-01,Colorado,289900
2014-02,Colorado,295000
2014-03,Colorado,299000
2014-04,Colorado,300000
2014-05,Colorado,306000
2014-06,Colorado,314950
2014-07,Colorado,314900
2014-08,Colorado,315000
2014-09,Colorado,317900
2014-10,Colorado,319000
2014-11,Colorado,320000
2014-12,Colorado,325000
2015-01,Colorado,334900
2015-02,Colorado,329900
2015-03,Colorado,334900
2015-04,Colorado,340000
2015-05,Colorado,345000
2015-06,Colorado,349000
2015-07,Colorado,350000
2015-08,Colorado,349950
2015-09,Colorado,350000
2015-10,Colorado,350000
2015-11,Colorado,350000
2015-12,Colorado,360000
2016-01,Colorado,369500
2016-02,Colorado,365000
2016-03,Colorado,369995
2016-04,Colorado,374900
2016-05,Colorado,375000
2016-06,Colorado,375000
2016-07,Colorado,375000
2016-08,Colorado,374900
2016-09,Colorado,375000
2016-10,Colorado,375000
2016-11,Colorado,375000
2016-12,Colorado,375000
2017-01,Colorado,377780
2017-02,Colorado,385000
2017-03,Colorado,390000
2017-04,Colorado,399000
2017-05,Colorado,399900
2017-06,Colorado,400000
2017-07,Colorado,406500
2017-08,Colorado,403900
2017-09,Colorado,408597
2017-10,Colorado,407033
2017-11,Colorado,400000
2017-12,Colorado,405000
