Date,State,Median_Listing_Price
2013-11,Connecticut,264900
2013-12,Connecticut,259900
2014-01,Connecticut,259000
2014-02,Connecticut,264000
2014-03,Connecticut,269900
2014-04,Connecticut,279900
2014-05,Connecticut,280000
2014-06,Connecticut,284900
2014-07,Connecticut,279900
2014-08,Connecticut,274900
2014-09,Connecticut,274500
2014-10,Connecticut,274000
2014-11,Connecticut,269000
2014-12,Connecticut,259900
2015-01,Connecticut,264000
2015-02,Connecticut,269500
2015-03,Connecticut,275000
2015-04,Connecticut,282950
2015-05,Connecticut,285000
2015-06,Connecticut,287500
2015-07,Connecticut,285000
2015-08,Connecticut,279000
2015-09,Connecticut,279999
2015-10,Connecticut,279900
2015-11,Connecticut,279000
2015-12,Connecticut,274900
2016-01,Connecticut,274900
2016-02,Connecticut,279900
2016-03,Connecticut,289000
2016-04,Connecticut,295000
2016-05,Connecticut,299900
2016-06,Connecticut,299900
2016-07,Connecticut,299900
2016-08,Connecticut,299000
2016-09,Connecticut,299000
2016-10,Connecticut,299000
2016-11,Connecticut,298726
2016-12,Connecticut,289900
2017-01,Connecticut,289500
2017-02,Connecticut,297500
2017-03,Connecticut,299900
2017-04,Connecticut,310000
2017-05,Connecticut,319000
2017-06,Connecticut,319000
2017-07,Connecticut,315000
2017-08,Connecticut,305000
2017-09,Connecticut,309900
2017-10,Connecticut,309900
2017-11,Connecticut,300000
2017-12,Connecticut,299900
