Date,State,Median_Listing_Price
1/31/2010,Delaware,234900.0
2/28/2010,Delaware,232900.0
3/31/2010,Delaware,230000.0
4/30/2010,Delaware,232950.0
5/31/2010,Delaware,227000.0
6/30/2010,Delaware,225000.0
7/31/2010,Delaware,224900.0
8/31/2010,Delaware,225000.0
9/30/2010,Delaware,229900.0
10/31/2010,Delaware,227500.0
11/30/2010,Delaware,225000.0
12/31/2010,Delaware,224900.0
1/31/2011,Delaware,220000.0
2/28/2011,Delaware,220000.0
3/31/2011,Delaware,224900.0
4/30/2011,Delaware,225000.0
5/31/2011,Delaware,227900.0
6/30/2011,Delaware,219000.0
7/31/2011,Delaware,200000.0
8/31/2011,Delaware,199900.0
9/30/2011,Delaware,199000.0
10/31/2011,Delaware,195900.0
11/30/2011,Delaware,194495.0
12/31/2011,Delaware,189900.0
1/31/2012,Delaware,190000.0
2/29/2012,Delaware,199900.0
3/31/2012,Delaware,218500.0
4/30/2012,Delaware,224900.0
5/31/2012,Delaware,223000.0
6/30/2012,Delaware,222495.0
7/31/2012,Delaware,223900.0
8/31/2012,Delaware,226900.0
9/30/2012,Delaware,225000.0
10/31/2012,Delaware,224900.0
11/30/2012,Delaware,232400.0
12/31/2012,Delaware,230000.0
1/31/2013,Delaware,239999.0
2/28/2013,Delaware,239900.0
3/31/2013,Delaware,240000.0
4/30/2013,Delaware,245000.0
5/31/2013,Delaware,249900.0
6/30/2013,Delaware,242900.0
7/31/2013,Delaware,245000.0
8/31/2013,Delaware,247990.0
9/30/2013,Delaware,249900.0
10/31/2013,Delaware,249900.0
11/30/2013,Delaware,244900.0
12/31/2013,Delaware,245000.0
1/31/2014,Delaware,244900.0
2/28/2014,Delaware,249900.0
3/31/2014,Delaware,249900.0
4/30/2014,Delaware,254900.0
5/31/2014,Delaware,259890.0
6/30/2014,Delaware,259900.0
7/31/2014,Delaware,257990.0
8/31/2014,Delaware,259900.0
9/30/2014,Delaware,261307.0
10/31/2014,Delaware,259000.0
11/30/2014,Delaware,258990.0
12/31/2014,Delaware,255000.0
1/31/2015,Delaware,256300.0
2/28/2015,Delaware,258700.0
3/31/2015,Delaware,259900.0
4/30/2015,Delaware,259990.0
5/31/2015,Delaware,260000.0
6/30/2015,Delaware,260990.0
7/31/2015,Delaware,259990.0
8/31/2015,Delaware,259900.0
9/30/2015,Delaware,269900.0
10/31/2015,Delaware,269900.0
11/30/2015,Delaware,268000.0
12/31/2015,Delaware,265000.0
1/31/2016,Delaware,265500.0
2/29/2016,Delaware,265000.0
3/31/2016,Delaware,268900.0
4/30/2016,Delaware,269900.0
5/31/2016,Delaware,269900.0
6/30/2016,Delaware,269900.0
7/31/2016,Delaware,274900.0
8/31/2016,Delaware,275000.0
9/30/2016,Delaware,272630.5
10/31/2016,Delaware,269900.0
11/30/2016,Delaware,268990.0
12/31/2016,Delaware,266421.5
1/31/2017,Delaware,264900.0
2/28/2017,Delaware,265000.0
3/31/2017,Delaware,269900.0
4/30/2017,Delaware,271900.0
5/31/2017,Delaware,272900.0
6/30/2017,Delaware,275000.0
7/31/2017,Delaware,275900.0
8/31/2017,Delaware,279000.0
9/30/2017,Delaware,277900.0
10/31/2017,Delaware,275000.0
11/30/2017,Delaware,275000.0
12/31/2017,Delaware,275000.0
