Date,State,Median_Listing_Price
2013-11,District of Columbia,467000
2013-12,District of Columbia,454945
2014-01,District of Columbia,444000
2014-02,District of Columbia,444900
2014-03,District of Columbia,449000
2014-04,District of Columbia,464778
2014-05,District of Columbia,450000
2014-06,District of Columbia,449900
2014-07,District of Columbia,449250
2014-08,District of Columbia,436750
2014-09,District of Columbia,450000
2014-10,District of Columbia,460000
2014-11,District of Columbia,449900
2014-12,District of Columbia,435000
2015-01,District of Columbia,435000
2015-02,District of Columbia,439250
2015-03,District of Columbia,459000
2015-04,District of Columbia,479000
2015-05,District of Columbia,499000
2015-06,District of Columbia,492500
2015-07,District of Columbia,464999
2015-08,District of Columbia,475000
2015-09,District of Columbia,494000
2015-10,District of Columbia,499000
2015-11,District of Columbia,489000
2015-12,District of Columbia,489000
2016-01,District of Columbia,496000
2016-02,District of Columbia,509000
2016-03,District of Columbia,519825
2016-04,District of Columbia,549700
2016-05,District of Columbia,549900
2016-06,District of Columbia,559900
2016-07,District of Columbia,565000
2016-08,District of Columbia,549900
2016-09,District of Columbia,549000
2016-10,District of Columbia,550000
2016-11,District of Columbia,549000
2016-12,District of Columbia,549000
2017-01,District of Columbia,546000
2017-02,District of Columbia,539000
2017-03,District of Columbia,549000
2017-04,District of Columbia,550000
2017-05,District of Columbia,560000
2017-06,District of Columbia,565950
2017-07,District of Columbia,550000
2017-08,District of Columbia,529000
2017-09,District of Columbia,550000
2017-10,District of Columbia,560000
2017-11,District of Columbia,550000
2017-12,District of Columbia,535000
