Date,State,Median_Listing_Price
11/30/2013,Florida,200000.0
12/31/2013,Florida,199999.0
1/31/2014,Florida,199900.0
2/28/2014,Florida,204900.0
3/31/2014,Florida,208000.0
4/30/2014,Florida,210000.0
5/31/2014,Florida,209500.0
6/30/2014,Florida,205000.0
7/31/2014,Florida,214900.0
8/31/2014,Florida,215000.0
9/30/2014,Florida,216300.0
10/31/2014,Florida,215000.0
11/30/2014,Florida,217000.0
12/31/2014,Florida,215000.0
1/31/2015,Florida,219900.0
2/28/2015,Florida,225000.0
3/31/2015,Florida,225000.0
4/30/2015,Florida,225000.0
5/31/2015,Florida,227999.5
6/30/2015,Florida,229000.0
7/31/2015,Florida,229900.0
8/31/2015,Florida,238990.0
9/30/2015,Florida,239900.0
10/31/2015,Florida,242000.0
11/30/2015,Florida,249000.0
12/31/2015,Florida,249900.0
1/31/2016,Florida,249500.0
2/29/2016,Florida,249950.0
3/31/2016,Florida,252360.0
4/30/2016,Florida,259000.0
5/31/2016,Florida,258730.0
6/30/2016,Florida,259000.0
7/31/2016,Florida,259000.0
8/31/2016,Florida,255000.0
9/30/2016,Florida,259900.0
10/31/2016,Florida,260000.0
11/30/2016,Florida,260900.0
12/31/2016,Florida,264900.0
1/31/2017,Florida,269900.0
2/28/2017,Florida,273990.0
3/31/2017,Florida,275000.0
4/30/2017,Florida,279000.0
5/31/2017,Florida,279900.0
6/30/2017,Florida,279900.5
7/31/2017,Florida,279999.0
8/31/2017,Florida,279900.0
9/30/2017,Florida,283990.0
10/31/2017,Florida,279900.0
11/30/2017,Florida,284900.0
12/31/2017,Florida,285000.0
