Date,State,Median_Listing_Price
10/31/2013,Georgia,179000.0
11/30/2013,Georgia,175000.0
12/31/2013,Georgia,171970.0
1/31/2014,Georgia,169600.0
2/28/2014,Georgia,174000.0
3/31/2014,Georgia,179900.0
4/30/2014,Georgia,184900.0
5/31/2014,Georgia,187990.0
6/30/2014,Georgia,190000.0
7/31/2014,Georgia,189900.0
8/31/2014,Georgia,189000.0
9/30/2014,Georgia,185500.0
10/31/2014,Georgia,184900.0
11/30/2014,Georgia,181940.0
12/31/2014,Georgia,178990.0
1/31/2015,Georgia,179990.0
2/28/2015,Georgia,185000.0
3/31/2015,Georgia,189000.0
4/30/2015,Georgia,189900.0
5/31/2015,Georgia,194900.0
6/30/2015,Georgia,195900.0
7/31/2015,Georgia,197000.0
8/31/2015,Georgia,199000.0
9/30/2015,Georgia,199000.0
10/31/2015,Georgia,197900.0
11/30/2015,Georgia,195900.0
12/31/2015,Georgia,196357.5
1/31/2016,Georgia,196000.0
2/29/2016,Georgia,195000.0
3/31/2016,Georgia,199900.0
4/30/2016,Georgia,206505.0
5/31/2016,Georgia,212200.0
6/30/2016,Georgia,215000.0
7/31/2016,Georgia,215000.0
8/31/2016,Georgia,211630.0
9/30/2016,Georgia,210000.0
10/31/2016,Georgia,212000.0
11/30/2016,Georgia,210000.0
12/31/2016,Georgia,208900.0
1/31/2017,Georgia,209900.0
2/28/2017,Georgia,212544.0
3/31/2017,Georgia,220397.0
4/30/2017,Georgia,229900.0
5/31/2017,Georgia,232140.0
6/30/2017,Georgia,235000.0
7/31/2017,Georgia,235000.0
8/31/2017,Georgia,235000.0
9/30/2017,Georgia,236900.0
10/31/2017,Georgia,239000.0
11/30/2017,Georgia,239900.0
12/31/2017,Georgia,239000.0
