Date,State,Median_Listing_Price
1/31/2010,Hawaii,489000.0
2/28/2010,Hawaii,485000.0
3/31/2010,Hawaii,469000.0
4/30/2010,Hawaii,469000.0
5/31/2010,Hawaii,468000.0
6/30/2010,Hawaii,464000.0
7/31/2010,Hawaii,456450.0
8/31/2010,Hawaii,479000.0
9/30/2010,Hawaii,489000.0
10/31/2010,Hawaii,449000.0
11/30/2010,Hawaii,399000.0
12/31/2010,Hawaii,386450.0
1/31/2011,Hawaii,394400.0
2/28/2011,Hawaii,381500.0
3/31/2011,Hawaii,399000.0
4/30/2011,Hawaii,399000.0
5/31/2011,Hawaii,399900.0
6/30/2011,Hawaii,404400.0
7/31/2011,Hawaii,428800.0
8/31/2011,Hawaii,449000.0
9/30/2011,Hawaii,448000.0
10/31/2011,Hawaii,435000.0
11/30/2011,Hawaii,419000.0
12/31/2011,Hawaii,420000.0
1/31/2012,Hawaii,425000.0
2/29/2012,Hawaii,429000.0
3/31/2012,Hawaii,429000.0
4/30/2012,Hawaii,439000.0
5/31/2012,Hawaii,410000.0
6/30/2012,Hawaii,399000.0
7/31/2012,Hawaii,390000.0
8/31/2012,Hawaii,386200.0
9/30/2012,Hawaii,385000.0
10/31/2012,Hawaii,379000.0
11/30/2012,Hawaii,435000.0
12/31/2012,Hawaii,445000.0
1/31/2013,Hawaii,459689.5
2/28/2013,Hawaii,469900.0
3/31/2013,Hawaii,465000.0
4/30/2013,Hawaii,475000.0
5/31/2013,Hawaii,469000.0
6/30/2013,Hawaii,459000.0
7/31/2013,Hawaii,486115.0
8/31/2013,Hawaii,495000.0
9/30/2013,Hawaii,499000.0
10/31/2013,Hawaii,495000.0
11/30/2013,Hawaii,499000.0
12/31/2013,Hawaii,501678.0
1/31/2014,Hawaii,504000.0
2/28/2014,Hawaii,515000.0
3/31/2014,Hawaii,499500.0
4/30/2014,Hawaii,500000.0
5/31/2014,Hawaii,510000.0
6/30/2014,Hawaii,508000.0
7/31/2014,Hawaii,515000.0
8/31/2014,Hawaii,520000.0
9/30/2014,Hawaii,515000.0
10/31/2014,Hawaii,499000.0
11/30/2014,Hawaii,510000.0
12/31/2014,Hawaii,515000.0
1/31/2015,Hawaii,525000.0
2/28/2015,Hawaii,529000.0
3/31/2015,Hawaii,525785.0
4/30/2015,Hawaii,530000.0
5/31/2015,Hawaii,515000.0
6/30/2015,Hawaii,539000.0
7/31/2015,Hawaii,539000.0
8/31/2015,Hawaii,545000.0
9/30/2015,Hawaii,545000.0
10/31/2015,Hawaii,540000.0
11/30/2015,Hawaii,549000.0
12/31/2015,Hawaii,544000.0
1/31/2016,Hawaii,559000.0
2/29/2016,Hawaii,535000.0
3/31/2016,Hawaii,559000.0
4/30/2016,Hawaii,569000.0
5/31/2016,Hawaii,570000.0
6/30/2016,Hawaii,585000.0
7/31/2016,Hawaii,588000.0
8/31/2016,Hawaii,585000.0
9/30/2016,Hawaii,589000.0
10/31/2016,Hawaii,585000.0
11/30/2016,Hawaii,590000.0
12/31/2016,Hawaii,595000.0
1/31/2017,Hawaii,599000.0
2/28/2017,Hawaii,595000.0
3/31/2017,Hawaii,595000.0
4/30/2017,Hawaii,599000.0
5/31/2017,Hawaii,599900.0
6/30/2017,Hawaii,610000.0
7/31/2017,Hawaii,600000.0
8/31/2017,Hawaii,599250.0
9/30/2017,Hawaii,599000.0
10/31/2017,Hawaii,599000.0
11/30/2017,Hawaii,599000.0
12/31/2017,Hawaii,610000.0
