Date,State,Median_Listing_Price
2013-11,Idaho,184990
2013-12,Idaho,166787
2014-01,Idaho,168890
2014-02,Idaho,179000
2014-03,Idaho,184000
2014-04,Idaho,189900
2014-05,Idaho,194500
2014-06,Idaho,197000
2014-07,Idaho,199000
2014-08,Idaho,198945
2014-09,Idaho,198990
2014-10,Idaho,197000
2014-11,Idaho,192990
2014-12,Idaho,190000
2015-01,Idaho,192500
2015-02,Idaho,194800
2015-03,Idaho,199000
2015-04,Idaho,215000
2015-05,Idaho,217500
2015-06,Idaho,221182
2015-07,Idaho,223713
2015-08,Idaho,221900
2015-09,Idaho,224900
2015-10,Idaho,225000
2015-11,Idaho,225894
2015-12,Idaho,228000
2016-01,Idaho,229000
2016-02,Idaho,225572
2016-03,Idaho,225495
2016-04,Idaho,231594
2016-05,Idaho,239900
2016-06,Idaho,245000
2016-07,Idaho,245990
2016-08,Idaho,245000
2016-09,Idaho,247900
2016-10,Idaho,248500
2016-11,Idaho,247953
2016-12,Idaho,249500
2017-01,Idaho,249900
2017-02,Idaho,250900
2017-03,Idaho,253995
2017-04,Idaho,264900
2017-05,Idaho,269900
2017-06,Idaho,272900
2017-07,Idaho,274900
2017-08,Idaho,269900
2017-09,Idaho,269000
2017-10,Idaho,269000
2017-11,Idaho,272900
2017-12,Idaho,277500
