Date,State,Median_Listing_Price
11/30/2013,Illinois,159900.0
12/31/2013,Illinois,159900.0
1/31/2014,Illinois,155000.0
2/28/2014,Illinois,164900.0
3/31/2014,Illinois,172500.0
4/30/2014,Illinois,179900.0
5/31/2014,Illinois,187925.0
6/30/2014,Illinois,189900.0
7/31/2014,Illinois,189700.0
8/31/2014,Illinois,185900.0
9/30/2014,Illinois,184900.0
10/31/2014,Illinois,180000.0
11/30/2014,Illinois,178000.0
12/31/2014,Illinois,169900.0
1/31/2015,Illinois,169900.0
2/28/2015,Illinois,175000.0
3/31/2015,Illinois,187500.0
4/30/2015,Illinois,190000.0
5/31/2015,Illinois,199900.0
6/30/2015,Illinois,199900.0
7/31/2015,Illinois,199500.0
8/31/2015,Illinois,195000.0
9/30/2015,Illinois,190000.0
10/31/2015,Illinois,189900.0
11/30/2015,Illinois,186900.0
12/31/2015,Illinois,179900.0
1/31/2016,Illinois,179900.0
2/29/2016,Illinois,189000.0
3/31/2016,Illinois,199500.0
4/30/2016,Illinois,207260.0
5/31/2016,Illinois,209900.0
6/30/2016,Illinois,209900.0
7/31/2016,Illinois,205000.0
8/31/2016,Illinois,199900.0
9/30/2016,Illinois,199500.0
10/31/2016,Illinois,197500.0
11/30/2016,Illinois,189900.0
12/31/2016,Illinois,185000.0
1/31/2017,Illinois,185000.0
2/28/2017,Illinois,197900.0
3/31/2017,Illinois,209500.0
4/30/2017,Illinois,215900.0
5/31/2017,Illinois,219900.0
6/30/2017,Illinois,224900.0
7/31/2017,Illinois,219900.0
8/31/2017,Illinois,215000.0
9/30/2017,Illinois,214900.0
10/31/2017,Illinois,210900.0
11/30/2017,Illinois,209900.0
12/31/2017,Illinois,199900.0
