Date,State,Median_Listing_Price
2013-11,Indiana,125000
2013-12,Indiana,124900
2014-01,Indiana,124900
2014-02,Indiana,125000
2014-03,Indiana,129900
2014-04,Indiana,134900
2014-05,Indiana,138500
2014-06,Indiana,139900
2014-07,Indiana,139900
2014-08,Indiana,138900
2014-09,Indiana,136000
2014-10,Indiana,134900
2014-11,Indiana,133000
2014-12,Indiana,129900
2015-01,Indiana,129900
2015-02,Indiana,133900
2015-03,Indiana,137000
2015-04,Indiana,139000
2015-05,Indiana,139900
2015-06,Indiana,139950
2015-07,Indiana,139900
2015-08,Indiana,138500
2015-09,Indiana,139000
2015-10,Indiana,135000
2015-11,Indiana,135000
2015-12,Indiana,130000
2016-01,Indiana,130000
2016-02,Indiana,130900
2016-03,Indiana,135000
2016-04,Indiana,139900
2016-05,Indiana,142900
2016-06,Indiana,144900
2016-07,Indiana,145000
2016-08,Indiana,142900
2016-09,Indiana,140000
2016-10,Indiana,140700
2016-11,Indiana,140000
2016-12,Indiana,139900
2017-01,Indiana,139900
2017-02,Indiana,140000
2017-03,Indiana,149900
2017-04,Indiana,159900
2017-05,Indiana,164900
2017-06,Indiana,165000
2017-07,Indiana,165900
2017-08,Indiana,164900
2017-09,Indiana,167500
2017-10,Indiana,166500
2017-11,Indiana,164900
2017-12,Indiana,163000
