Date,State,Median_Listing_Price
2013-11,Iowa,129900
2013-12,Iowa,129900
2014-01,Iowa,129900
2014-02,Iowa,130000
2014-03,Iowa,135000
2014-04,Iowa,139200
2014-05,Iowa,139900
2014-06,Iowa,140000
2014-07,Iowa,139900
2014-08,Iowa,139900
2014-09,Iowa,138900
2014-10,Iowa,137500
2014-11,Iowa,137500
2014-12,Iowa,135000
2015-01,Iowa,138500
2015-02,Iowa,139800
2015-03,Iowa,144000
2015-04,Iowa,148000
2015-05,Iowa,156975
2015-06,Iowa,157500
2015-07,Iowa,154900
2015-08,Iowa,150000
2015-09,Iowa,149900
2015-10,Iowa,149500
2015-11,Iowa,149000
2015-12,Iowa,145000
2016-01,Iowa,147900
2016-02,Iowa,149900
2016-03,Iowa,155000
2016-04,Iowa,159500
2016-05,Iowa,159900
2016-06,Iowa,163000
2016-07,Iowa,162500
2016-08,Iowa,159900
2016-09,Iowa,159500
2016-10,Iowa,159500
2016-11,Iowa,154900
2016-12,Iowa,150000
2017-01,Iowa,154900
2017-02,Iowa,159900
2017-03,Iowa,164900
2017-04,Iowa,169900
2017-05,Iowa,174900
2017-06,Iowa,175000
2017-07,Iowa,174500
2017-08,Iowa,169900
2017-09,Iowa,169000
2017-10,Iowa,168999
2017-11,Iowa,169000
2017-12,Iowa,169000
