Date,State,Median_Listing_Price
2013-11,Kansas,130000
2013-12,Kansas,129950
2014-01,Kansas,129900
2014-02,Kansas,132000
2014-03,Kansas,135000
2014-04,Kansas,140000
2014-05,Kansas,145000
2014-06,Kansas,145000
2014-07,Kansas,144900
2014-08,Kansas,139900
2014-09,Kansas,139500
2014-10,Kansas,139000
2014-11,Kansas,138250
2014-12,Kansas,135900
2015-01,Kansas,137000
2015-02,Kansas,139000
2015-03,Kansas,149900
2015-04,Kansas,157900
2015-05,Kansas,164900
2015-06,Kansas,162500
2015-07,Kansas,159900
2015-08,Kansas,152500
2015-09,Kansas,154900
2015-10,Kansas,153000
2015-11,Kansas,149900
2015-12,Kansas,149000
2016-01,Kansas,145000
2016-02,Kansas,149900
2016-03,Kansas,155000
2016-04,Kansas,159900
2016-05,Kansas,159900
2016-06,Kansas,160000
2016-07,Kansas,159900
2016-08,Kansas,155000
2016-09,Kansas,152000
2016-10,Kansas,150000
2016-11,Kansas,149900
2016-12,Kansas,145000
2017-01,Kansas,145000
2017-02,Kansas,149900
2017-03,Kansas,159900
2017-04,Kansas,167010
2017-05,Kansas,173500
2017-06,Kansas,174900
2017-07,Kansas,169900
2017-08,Kansas,165000
2017-09,Kansas,169900
2017-10,Kansas,170000
2017-11,Kansas,169900
2017-12,Kansas,165000
