Date,State,Median_Listing_Price
2013-11,Kentucky,139000
2013-12,Kentucky,139500
2014-01,Kentucky,137900
2014-02,Kentucky,139900
2014-03,Kentucky,140000
2014-04,Kentucky,145000
2014-05,Kentucky,148500
2014-06,Kentucky,149900
2014-07,Kentucky,149900
2014-08,Kentucky,149600
2014-09,Kentucky,149900
2014-10,Kentucky,149900
2014-11,Kentucky,149000
2014-12,Kentucky,147900
2015-01,Kentucky,147930
2015-02,Kentucky,149900
2015-03,Kentucky,149900
2015-04,Kentucky,150000
2015-05,Kentucky,157290
2015-06,Kentucky,158900
2015-07,Kentucky,158900
2015-08,Kentucky,158330
2015-09,Kentucky,159000
2015-10,Kentucky,156000
2015-11,Kentucky,155000
2015-12,Kentucky,151900
2016-01,Kentucky,150000
2016-02,Kentucky,149999
2016-03,Kentucky,154500
2016-04,Kentucky,159473
2016-05,Kentucky,159900
2016-06,Kentucky,162500
2016-07,Kentucky,164500
2016-08,Kentucky,159900
2016-09,Kentucky,159900
2016-10,Kentucky,159900
2016-11,Kentucky,159900
2016-12,Kentucky,159900
2017-01,Kentucky,159000
2017-02,Kentucky,159900
2017-03,Kentucky,165000
2017-04,Kentucky,169900
2017-05,Kentucky,173900
2017-06,Kentucky,172900
2017-07,Kentucky,173500
2017-08,Kentucky,170000
2017-09,Kentucky,169900
2017-10,Kentucky,169999
2017-11,Kentucky,169900
2017-12,Kentucky,169900
