Date,State,Median_Listing_Price
2013-11,Louisiana,165000
2013-12,Louisiana,165000
2014-01,Louisiana,164263
2014-02,Louisiana,165000
2014-03,Louisiana,165000
2014-04,Louisiana,169000
2014-05,Louisiana,170000
2014-06,Louisiana,171900
2014-07,Louisiana,170000
2014-08,Louisiana,175000
2014-09,Louisiana,175000
2014-10,Louisiana,175000
2014-11,Louisiana,176000
2014-12,Louisiana,175000
2015-01,Louisiana,175500
2015-02,Louisiana,179000
2015-03,Louisiana,179900
2015-04,Louisiana,180000
2015-05,Louisiana,184500
2015-06,Louisiana,184900
2015-07,Louisiana,184900
2015-08,Louisiana,184900
2015-09,Louisiana,185000
2015-10,Louisiana,184900
2015-11,Louisiana,185000
2015-12,Louisiana,185000
2016-01,Louisiana,187700
2016-02,Louisiana,189900
2016-03,Louisiana,194500
2016-04,Louisiana,199000
2016-05,Louisiana,199000
2016-06,Louisiana,199500
2016-07,Louisiana,199000
2016-08,Louisiana,199000
2016-09,Louisiana,198000
2016-10,Louisiana,199000
2016-11,Louisiana,197000
2016-12,Louisiana,197000
2017-01,Louisiana,195000
2017-02,Louisiana,194900
2017-03,Louisiana,198000
2017-04,Louisiana,200000
2017-05,Louisiana,205500
2017-06,Louisiana,205000
2017-07,Louisiana,205000
2017-08,Louisiana,203500
2017-09,Louisiana,203500
2017-10,Louisiana,204900
2017-11,Louisiana,204900
2017-12,Louisiana,200500
