Date,State,Median_Listing_Price
2013-11,Maine,192000
2013-12,Maine,189900
2014-01,Maine,189000
2014-02,Maine,189000
2014-03,Maine,190000
2014-04,Maine,197000
2014-05,Maine,199900
2014-06,Maine,199900
2014-07,Maine,199900
2014-08,Maine,199900
2014-09,Maine,199500
2014-10,Maine,199000
2014-11,Maine,199000
2014-12,Maine,196000
2015-01,Maine,194500
2015-02,Maine,191650
2015-03,Maine,199000
2015-04,Maine,199500
2015-05,Maine,200000
2015-06,Maine,203500
2015-07,Maine,209000
2015-08,Maine,207000
2015-09,Maine,200000
2015-10,Maine,205000
2015-11,Maine,200000
2015-12,Maine,199900
2016-01,Maine,199000
2016-02,Maine,197900
2016-03,Maine,199900
2016-04,Maine,210000
2016-05,Maine,217500
2016-06,Maine,216912
2016-07,Maine,219000
2016-08,Maine,219000
2016-09,Maine,219900
2016-10,Maine,219750
2016-11,Maine,219000
2016-12,Maine,210000
2017-01,Maine,209000
2017-02,Maine,210000
2017-03,Maine,219000
2017-04,Maine,225000
2017-05,Maine,229000
2017-06,Maine,230000
2017-07,Maine,234000
2017-08,Maine,229900
2017-09,Maine,230000
2017-10,Maine,229900
2017-11,Maine,229000
2017-12,Maine,225000
