Date,State,Median_Listing_Price
1/31/2010,Maryland,245000.0
2/28/2010,Maryland,246000.0
3/31/2010,Maryland,245000.0
4/30/2010,Maryland,249000.0
5/31/2010,Maryland,243900.0
6/30/2010,Maryland,239900.0
7/31/2010,Maryland,234900.0
8/31/2010,Maryland,229900.0
9/30/2010,Maryland,239799.5
10/31/2010,Maryland,237500.0
11/30/2010,Maryland,236800.0
12/31/2010,Maryland,225900.0
1/31/2011,Maryland,222000.0
2/28/2011,Maryland,222000.0
3/31/2011,Maryland,229000.0
4/30/2011,Maryland,230000.0
5/31/2011,Maryland,239000.0
6/30/2011,Maryland,239900.0
7/31/2011,Maryland,239900.0
8/31/2011,Maryland,239900.0
9/30/2011,Maryland,239000.0
10/31/2011,Maryland,235000.0
11/30/2011,Maryland,229402.0
12/31/2011,Maryland,228724.5
1/31/2012,Maryland,225000.0
2/29/2012,Maryland,229400.0
3/31/2012,Maryland,229909.5
4/30/2012,Maryland,225000.0
5/31/2012,Maryland,214500.0
6/30/2012,Maryland,239900.0
7/31/2012,Maryland,239900.0
8/31/2012,Maryland,239000.0
9/30/2012,Maryland,234500.0
10/31/2012,Maryland,234900.0
11/30/2012,Maryland,249000.0
12/31/2012,Maryland,239900.0
1/31/2013,Maryland,240000.0
2/28/2013,Maryland,245000.0
3/31/2013,Maryland,250000.0
4/30/2013,Maryland,259900.0
5/31/2013,Maryland,269000.0
6/30/2013,Maryland,272900.0
7/31/2013,Maryland,269995.0
8/31/2013,Maryland,269000.0
9/30/2013,Maryland,269900.0
10/31/2013,Maryland,269900.0
11/30/2013,Maryland,260000.0
12/31/2013,Maryland,269000.0
1/31/2014,Maryland,259000.0
2/28/2014,Maryland,259900.0
3/31/2014,Maryland,269000.0
4/30/2014,Maryland,275000.0
5/31/2014,Maryland,281236.0
6/30/2014,Maryland,284900.0
7/31/2014,Maryland,280000.0
8/31/2014,Maryland,279000.0
9/30/2014,Maryland,279000.0
10/31/2014,Maryland,274900.0
11/30/2014,Maryland,269145.0
12/31/2014,Maryland,259900.0
1/31/2015,Maryland,257000.0
2/28/2015,Maryland,259941.5
3/31/2015,Maryland,269000.0
4/30/2015,Maryland,274900.0
5/31/2015,Maryland,279632.0
6/30/2015,Maryland,279900.0
7/31/2015,Maryland,274900.0
8/31/2015,Maryland,275000.0
9/30/2015,Maryland,279897.0
10/31/2015,Maryland,274900.0
11/30/2015,Maryland,269900.0
12/31/2015,Maryland,264900.0
1/31/2016,Maryland,263000.0
2/29/2016,Maryland,260000.0
3/31/2016,Maryland,274900.0
4/30/2016,Maryland,285000.0
5/31/2016,Maryland,289900.0
6/30/2016,Maryland,289900.0
7/31/2016,Maryland,289000.0
8/31/2016,Maryland,284900.0
9/30/2016,Maryland,285000.0
10/31/2016,Maryland,289000.0
11/30/2016,Maryland,285000.0
12/31/2016,Maryland,275461.0
1/31/2017,Maryland,274900.0
2/28/2017,Maryland,279900.0
3/31/2017,Maryland,291500.0
4/30/2017,Maryland,299900.0
5/31/2017,Maryland,309000.0
6/30/2017,Maryland,307500.0
7/31/2017,Maryland,309000.0
8/31/2017,Maryland,300000.0
9/30/2017,Maryland,303000.0
10/31/2017,Maryland,300000.0
11/30/2017,Maryland,299900.0
12/31/2017,Maryland,297500.0
