Date,State,Median_Listing_Price
2013-11,Massachusetts,339900
2013-12,Massachusetts,335900
2014-01,Massachusetts,329900
2014-02,Massachusetts,344000
2014-03,Massachusetts,349000
2014-04,Massachusetts,349900
2014-05,Massachusetts,359000
2014-06,Massachusetts,354900
2014-07,Massachusetts,349900
2014-08,Massachusetts,349000
2014-09,Massachusetts,349000
2014-10,Massachusetts,349900
2014-11,Massachusetts,349900
2014-12,Massachusetts,342000
2015-01,Massachusetts,339900
2015-02,Massachusetts,344900
2015-03,Massachusetts,349900
2015-04,Massachusetts,358900
2015-05,Massachusetts,360000
2015-06,Massachusetts,365000
2015-07,Massachusetts,359900
2015-08,Massachusetts,359000
2015-09,Massachusetts,359900
2015-10,Massachusetts,359900
2015-11,Massachusetts,359900
2015-12,Massachusetts,350000
2016-01,Massachusetts,350000
2016-02,Massachusetts,359900
2016-03,Massachusetts,379000
2016-04,Massachusetts,389900
2016-05,Massachusetts,395000
2016-06,Massachusetts,398900
2016-07,Massachusetts,389900
2016-08,Massachusetts,384900
2016-09,Massachusetts,389900
2016-10,Massachusetts,394900
2016-11,Massachusetts,389900
2016-12,Massachusetts,384900
2017-01,Massachusetts,379900
2017-02,Massachusetts,389900
2017-03,Massachusetts,409900
2017-04,Massachusetts,421900
2017-05,Massachusetts,429000
2017-06,Massachusetts,429000
2017-07,Massachusetts,424900
2017-08,Massachusetts,419000
2017-09,Massachusetts,419900
2017-10,Massachusetts,419900
2017-11,Massachusetts,419900
2017-12,Massachusetts,415000
