Date,State,Median_Listing_Price
2013-11,Michigan,121500
2013-12,Michigan,119900
2014-01,Michigan,118500
2014-02,Michigan,119900
2014-03,Michigan,124900
2014-04,Michigan,130000
2014-05,Michigan,137500
2014-06,Michigan,139900
2014-07,Michigan,139900
2014-08,Michigan,139900
2014-09,Michigan,138000
2014-10,Michigan,134900
2014-11,Michigan,129400
2014-12,Michigan,124900
2015-01,Michigan,124900
2015-02,Michigan,129900
2015-03,Michigan,133900
2015-04,Michigan,139000
2015-05,Michigan,142500
2015-06,Michigan,145000
2015-07,Michigan,145000
2015-08,Michigan,144900
2015-09,Michigan,142900
2015-10,Michigan,139900
2015-11,Michigan,139000
2015-12,Michigan,134900
2016-01,Michigan,130000
2016-02,Michigan,130000
2016-03,Michigan,139000
2016-04,Michigan,144900
2016-05,Michigan,149900
2016-06,Michigan,150000
2016-07,Michigan,151900
2016-08,Michigan,150000
2016-09,Michigan,149900
2016-10,Michigan,149900
2016-11,Michigan,149000
2016-12,Michigan,145000
2017-01,Michigan,144700
2017-02,Michigan,149900
2017-03,Michigan,155000
2017-04,Michigan,161000
2017-05,Michigan,169000
2017-06,Michigan,169900
2017-07,Michigan,169900
2017-08,Michigan,169900
2017-09,Michigan,169900
2017-10,Michigan,169000
2017-11,Michigan,164900
2017-12,Michigan,159900
