Date,State,Median_Listing_Price
2013-11,Minnesota,179900
2013-12,Minnesota,179900
2014-01,Minnesota,174900
2014-02,Minnesota,180000
2014-03,Minnesota,189900
2014-04,Minnesota,194900
2014-05,Minnesota,199900
2014-06,Minnesota,200000
2014-07,Minnesota,200000
2014-08,Minnesota,199900
2014-09,Minnesota,199900
2014-10,Minnesota,199900
2014-11,Minnesota,199900
2014-12,Minnesota,199000
2015-01,Minnesota,199000
2015-02,Minnesota,200000
2015-03,Minnesota,214900
2015-04,Minnesota,217500
2015-05,Minnesota,220000
2015-06,Minnesota,224900
2015-07,Minnesota,224900
2015-08,Minnesota,220000
2015-09,Minnesota,220000
2015-10,Minnesota,219900
2015-11,Minnesota,219900
2015-12,Minnesota,215556
2016-01,Minnesota,219000
2016-02,Minnesota,219900
2016-03,Minnesota,229000
2016-04,Minnesota,229850
2016-05,Minnesota,229000
2016-06,Minnesota,229900
2016-07,Minnesota,229700
2016-08,Minnesota,225000
2016-09,Minnesota,225000
2016-10,Minnesota,225000
2016-11,Minnesota,225000
2016-12,Minnesota,224900
2017-01,Minnesota,219900
2017-02,Minnesota,235000
2017-03,Minnesota,240000
2017-04,Minnesota,245000
2017-05,Minnesota,249900
2017-06,Minnesota,249900
2017-07,Minnesota,249900
2017-08,Minnesota,247000
2017-09,Minnesota,249000
2017-10,Minnesota,248900
2017-11,Minnesota,249900
2017-12,Minnesota,249900
