Date,State,Median_Listing_Price
1/31/2010,Mississippi,154800.0
2/28/2010,Mississippi,154900.0
3/31/2010,Mississippi,150000.0
4/30/2010,Mississippi,152000.0
5/31/2010,Mississippi,152000.0
6/30/2010,Mississippi,150000.0
7/31/2010,Mississippi,149900.0
8/31/2010,Mississippi,149900.0
9/30/2010,Mississippi,149900.0
10/31/2010,Mississippi,149500.0
11/30/2010,Mississippi,149000.0
12/31/2010,Mississippi,145000.0
1/31/2011,Mississippi,144000.0
2/28/2011,Mississippi,139923.0
3/31/2011,Mississippi,146000.0
4/30/2011,Mississippi,149000.0
5/31/2011,Mississippi,149900.0
6/30/2011,Mississippi,149900.0
7/31/2011,Mississippi,149900.0
8/31/2011,Mississippi,149900.0
9/30/2011,Mississippi,149900.0
10/31/2011,Mississippi,147700.0
11/30/2011,Mississippi,143370.0
12/31/2011,Mississippi,139900.0
1/31/2012,Mississippi,140000.0
2/29/2012,Mississippi,139999.0
3/31/2012,Mississippi,143500.0
4/30/2012,Mississippi,141585.0
5/31/2012,Mississippi,139900.0
6/30/2012,Mississippi,139900.0
7/31/2012,Mississippi,139900.0
8/31/2012,Mississippi,139900.0
9/30/2012,Mississippi,139900.0
10/31/2012,Mississippi,139900.0
11/30/2012,Mississippi,148500.0
12/31/2012,Mississippi,146000.0
1/31/2013,Mississippi,149000.0
2/28/2013,Mississippi,149000.0
3/31/2013,Mississippi,149900.0
4/30/2013,Mississippi,149900.0
5/31/2013,Mississippi,150312.5
6/30/2013,Mississippi,153900.0
7/31/2013,Mississippi,154600.0
8/31/2013,Mississippi,151000.0
9/30/2013,Mississippi,153000.0
10/31/2013,Mississippi,150000.0
11/30/2013,Mississippi,149900.0
12/31/2013,Mississippi,149900.0
1/31/2014,Mississippi,149900.0
2/28/2014,Mississippi,149900.0
3/31/2014,Mississippi,152500.0
4/30/2014,Mississippi,155000.0
5/31/2014,Mississippi,156600.0
6/30/2014,Mississippi,158000.0
7/31/2014,Mississippi,157500.0
8/31/2014,Mississippi,157500.0
9/30/2014,Mississippi,156500.0
10/31/2014,Mississippi,155000.0
11/30/2014,Mississippi,154900.0
12/31/2014,Mississippi,150000.0
1/31/2015,Mississippi,155000.0
2/28/2015,Mississippi,159000.0
3/31/2015,Mississippi,159900.0
4/30/2015,Mississippi,159900.0
5/31/2015,Mississippi,162500.0
6/30/2015,Mississippi,160000.0
7/31/2015,Mississippi,160000.0
8/31/2015,Mississippi,160000.0
9/30/2015,Mississippi,164900.0
10/31/2015,Mississippi,159900.0
11/30/2015,Mississippi,159000.0
12/31/2015,Mississippi,156340.0
1/31/2016,Mississippi,156100.0
2/29/2016,Mississippi,155000.0
3/31/2016,Mississippi,159000.0
4/30/2016,Mississippi,159900.0
5/31/2016,Mississippi,162000.0
6/30/2016,Mississippi,164500.0
7/31/2016,Mississippi,164900.0
8/31/2016,Mississippi,162500.0
9/30/2016,Mississippi,159900.0
10/31/2016,Mississippi,161800.0
11/30/2016,Mississippi,163900.0
12/31/2016,Mississippi,160000.0
1/31/2017,Mississippi,159999.0
2/28/2017,Mississippi,162900.0
3/31/2017,Mississippi,169000.0
4/30/2017,Mississippi,172955.5
5/31/2017,Mississippi,175000.0
6/30/2017,Mississippi,175000.0
7/31/2017,Mississippi,175000.0
8/31/2017,Mississippi,174900.0
9/30/2017,Mississippi,175000.0
10/31/2017,Mississippi,176697.5
11/30/2017,Mississippi,174900.0
12/31/2017,Mississippi,174900.0
