Date,State,Median_Listing_Price
1/31/2010,Missouri,140000.0
2/28/2010,Missouri,141500.0
3/31/2010,Missouri,140000.0
4/30/2010,Missouri,139999.0
5/31/2010,Missouri,139900.0
6/30/2010,Missouri,139900.0
7/31/2010,Missouri,139900.0
8/31/2010,Missouri,139900.0
9/30/2010,Missouri,144900.0
10/31/2010,Missouri,142500.0
11/30/2010,Missouri,139900.0
12/31/2010,Missouri,137500.0
1/31/2011,Missouri,130500.0
2/28/2011,Missouri,130000.0
3/31/2011,Missouri,135000.0
4/30/2011,Missouri,139000.0
5/31/2011,Missouri,139900.0
6/30/2011,Missouri,139900.0
7/31/2011,Missouri,139900.0
8/31/2011,Missouri,139000.0
9/30/2011,Missouri,135900.0
10/31/2011,Missouri,134900.0
11/30/2011,Missouri,129900.0
12/31/2011,Missouri,128000.0
1/31/2012,Missouri,129900.0
2/29/2012,Missouri,126900.0
3/31/2012,Missouri,128499.5
4/30/2012,Missouri,129900.0
5/31/2012,Missouri,130000.0
6/30/2012,Missouri,129900.0
7/31/2012,Missouri,128900.0
8/31/2012,Missouri,127000.0
9/30/2012,Missouri,125000.0
10/31/2012,Missouri,125000.0
11/30/2012,Missouri,134900.0
12/31/2012,Missouri,129900.0
1/31/2013,Missouri,129900.0
2/28/2013,Missouri,132193.0
3/31/2013,Missouri,135000.0
4/30/2013,Missouri,139900.0
5/31/2013,Missouri,139995.0
6/30/2013,Missouri,139950.0
7/31/2013,Missouri,139900.0
8/31/2013,Missouri,139900.0
9/30/2013,Missouri,139900.0
10/31/2013,Missouri,139000.0
11/30/2013,Missouri,135000.0
12/31/2013,Missouri,134900.0
1/31/2014,Missouri,134900.0
2/28/2014,Missouri,135500.0
3/31/2014,Missouri,139900.0
4/30/2014,Missouri,141500.0
5/31/2014,Missouri,145850.0
6/30/2014,Missouri,145000.0
7/31/2014,Missouri,145000.0
8/31/2014,Missouri,144000.0
9/30/2014,Missouri,143000.0
10/31/2014,Missouri,140000.0
11/30/2014,Missouri,139900.0
12/31/2014,Missouri,138900.0
1/31/2015,Missouri,138500.0
2/28/2015,Missouri,139900.0
3/31/2015,Missouri,144900.0
4/30/2015,Missouri,149000.0
5/31/2015,Missouri,149900.0
6/30/2015,Missouri,149000.0
7/31/2015,Missouri,147900.0
8/31/2015,Missouri,145000.0
9/30/2015,Missouri,145000.0
10/31/2015,Missouri,144900.0
11/30/2015,Missouri,144900.0
12/31/2015,Missouri,139900.0
1/31/2016,Missouri,139900.0
2/29/2016,Missouri,141900.0
3/31/2016,Missouri,148900.0
4/30/2016,Missouri,153000.0
5/31/2016,Missouri,154900.0
6/30/2016,Missouri,155000.0
7/31/2016,Missouri,154900.0
8/31/2016,Missouri,152900.0
9/30/2016,Missouri,150930.0
10/31/2016,Missouri,151340.0
11/30/2016,Missouri,150000.0
12/31/2016,Missouri,149900.0
1/31/2017,Missouri,149900.0
2/28/2017,Missouri,150900.0
3/31/2017,Missouri,159500.0
4/30/2017,Missouri,164900.0
5/31/2017,Missouri,168500.0
6/30/2017,Missouri,169900.0
7/31/2017,Missouri,169900.0
8/31/2017,Missouri,169900.0
9/30/2017,Missouri,169900.0
10/31/2017,Missouri,169000.0
11/30/2017,Missouri,165900.0
12/31/2017,Missouri,165000.0
