Date,State,Median_Listing_Price
1/31/2010,Montana,254900.0
2/28/2010,Montana,249900.0
3/31/2010,Montana,249000.0
4/30/2010,Montana,245000.0
5/31/2010,Montana,245000.0
6/30/2010,Montana,247000.0
7/31/2010,Montana,245000.0
8/31/2010,Montana,247000.0
9/30/2010,Montana,246150.0
10/31/2010,Montana,239900.0
11/30/2010,Montana,235000.0
12/31/2010,Montana,239000.0
1/31/2011,Montana,235550.0
2/28/2011,Montana,234900.0
3/31/2011,Montana,235000.0
4/30/2011,Montana,235000.0
5/31/2011,Montana,235000.0
6/30/2011,Montana,238000.0
7/31/2011,Montana,237450.0
8/31/2011,Montana,235000.0
9/30/2011,Montana,230000.0
10/31/2011,Montana,229900.0
11/30/2011,Montana,225000.0
12/31/2011,Montana,220000.0
1/31/2012,Montana,219900.0
2/29/2012,Montana,219000.0
3/31/2012,Montana,224000.0
4/30/2012,Montana,224900.0
5/31/2012,Montana,222000.0
6/30/2012,Montana,224000.0
7/31/2012,Montana,224900.0
8/31/2012,Montana,224000.0
9/30/2012,Montana,224900.0
10/31/2012,Montana,219900.0
11/30/2012,Montana,231000.0
12/31/2012,Montana,225000.0
1/31/2013,Montana,225000.0
2/28/2013,Montana,235000.0
3/31/2013,Montana,240000.0
4/30/2013,Montana,259000.0
5/31/2013,Montana,265000.0
6/30/2013,Montana,269900.0
7/31/2013,Montana,269900.0
8/31/2013,Montana,269900.0
9/30/2013,Montana,275000.0
10/31/2013,Montana,274900.0
11/30/2013,Montana,269900.0
12/31/2013,Montana,274900.0
1/31/2014,Montana,275000.0
2/28/2014,Montana,269900.0
3/31/2014,Montana,269900.0
4/30/2014,Montana,269000.0
5/31/2014,Montana,272500.0
6/30/2014,Montana,274000.0
7/31/2014,Montana,274500.0
8/31/2014,Montana,269900.0
9/30/2014,Montana,273000.0
10/31/2014,Montana,270000.0
11/30/2014,Montana,275000.0
12/31/2014,Montana,275000.0
1/31/2015,Montana,279000.0
2/28/2015,Montana,279900.0
3/31/2015,Montana,275000.0
4/30/2015,Montana,282000.0
5/31/2015,Montana,289900.0
6/30/2015,Montana,294500.0
7/31/2015,Montana,297000.0
8/31/2015,Montana,294250.0
9/30/2015,Montana,295000.0
10/31/2015,Montana,295000.0
11/30/2015,Montana,294500.0
12/31/2015,Montana,294500.0
1/31/2016,Montana,289000.0
2/29/2016,Montana,288800.0
3/31/2016,Montana,288500.0
4/30/2016,Montana,289000.0
5/31/2016,Montana,290000.0
6/30/2016,Montana,292000.0
7/31/2016,Montana,292500.0
8/31/2016,Montana,295000.0
9/30/2016,Montana,295000.0
10/31/2016,Montana,294500.0
11/30/2016,Montana,290000.0
12/31/2016,Montana,294000.0
1/31/2017,Montana,289900.0
2/28/2017,Montana,289900.0
3/31/2017,Montana,290000.0
4/30/2017,Montana,295000.0
5/31/2017,Montana,299000.0
6/30/2017,Montana,299900.0
7/31/2017,Montana,300000.0
8/31/2017,Montana,299900.0
9/30/2017,Montana,299500.0
10/31/2017,Montana,299000.0
11/30/2017,Montana,299900.0
12/31/2017,Montana,299999.0
