Date,State,Median_Listing_Price
4/30/2013,Nebraska,139450.0
5/31/2013,Nebraska,140000.0
6/30/2013,Nebraska,139900.0
7/31/2013,Nebraska,139900.0
8/31/2013,Nebraska,139000.0
9/30/2013,Nebraska,139000.0
10/31/2013,Nebraska,139000.0
11/30/2013,Nebraska,135000.0
12/31/2013,Nebraska,135000.0
1/31/2014,Nebraska,135000.0
2/28/2014,Nebraska,138900.0
3/31/2014,Nebraska,142900.0
4/30/2014,Nebraska,147500.0
5/31/2014,Nebraska,149900.0
6/30/2014,Nebraska,150000.0
7/31/2014,Nebraska,149900.0
8/31/2014,Nebraska,150000.0
9/30/2014,Nebraska,149900.0
10/31/2014,Nebraska,146900.0
11/30/2014,Nebraska,145000.0
12/31/2014,Nebraska,142900.0
1/31/2015,Nebraska,144900.0
2/28/2015,Nebraska,149900.0
3/31/2015,Nebraska,156000.0
4/30/2015,Nebraska,164844.0
5/31/2015,Nebraska,170000.0
6/30/2015,Nebraska,169900.0
7/31/2015,Nebraska,165000.0
8/31/2015,Nebraska,165000.0
9/30/2015,Nebraska,164900.0
10/31/2015,Nebraska,163900.0
11/30/2015,Nebraska,164900.0
12/31/2015,Nebraska,164805.5
1/31/2016,Nebraska,160000.0
2/29/2016,Nebraska,167000.0
3/31/2016,Nebraska,175000.0
4/30/2016,Nebraska,179900.0
5/31/2016,Nebraska,180000.0
6/30/2016,Nebraska,177000.0
7/31/2016,Nebraska,178500.0
8/31/2016,Nebraska,172000.0
9/30/2016,Nebraska,170000.0
10/31/2016,Nebraska,172500.0
11/30/2016,Nebraska,171950.0
12/31/2016,Nebraska,169900.0
1/31/2017,Nebraska,172900.0
2/28/2017,Nebraska,176250.0
3/31/2017,Nebraska,185000.0
4/30/2017,Nebraska,191955.0
5/31/2017,Nebraska,199000.0
6/30/2017,Nebraska,197000.0
7/31/2017,Nebraska,196950.0
8/31/2017,Nebraska,195000.0
9/30/2017,Nebraska,198000.0
10/31/2017,Nebraska,195000.0
11/30/2017,Nebraska,195000.0
12/31/2017,Nebraska,195000.0
