Date,State,Median_Listing_Price
2013-11,Nevada,190000
2013-12,Nevada,189900
2014-01,Nevada,185000
2014-02,Nevada,188600
2014-03,Nevada,194900
2014-04,Nevada,199000
2014-05,Nevada,200000
2014-06,Nevada,207990
2014-07,Nevada,209000
2014-08,Nevada,216000
2014-09,Nevada,219500
2014-10,Nevada,219700
2014-11,Nevada,214990
2014-12,Nevada,214990
2015-01,Nevada,214999
2015-02,Nevada,219900
2015-03,Nevada,224290
2015-04,Nevada,227500
2015-05,Nevada,233877
2015-06,Nevada,234500
2015-07,Nevada,235000
2015-08,Nevada,238000
2015-09,Nevada,239168
2015-10,Nevada,239000
2015-11,Nevada,239200
2015-12,Nevada,239000
2016-01,Nevada,236990
2016-02,Nevada,234844
2016-03,Nevada,239900
2016-04,Nevada,245000
2016-05,Nevada,249900
2016-06,Nevada,251300
2016-07,Nevada,255000
2016-08,Nevada,256900
2016-09,Nevada,259900
2016-10,Nevada,259900
2016-11,Nevada,259997
2016-12,Nevada,260000
2017-01,Nevada,262900
2017-02,Nevada,265000
2017-03,Nevada,269900
2017-04,Nevada,270000
2017-05,Nevada,279000
2017-06,Nevada,284990
2017-07,Nevada,289900
2017-08,Nevada,290000
2017-09,Nevada,295000
2017-10,Nevada,297495
2017-11,Nevada,299000
2017-12,Nevada,299500
