Date,State,Median_Listing_Price
2013-11,New Hampshire,229000
2013-12,New Hampshire,229000
2014-01,New Hampshire,224900
2014-02,New Hampshire,224000
2014-03,New Hampshire,229900
2014-04,New Hampshire,237500
2014-05,New Hampshire,239900
2014-06,New Hampshire,244500
2014-07,New Hampshire,243250
2014-08,New Hampshire,239900
2014-09,New Hampshire,239900
2014-10,New Hampshire,239900
2014-11,New Hampshire,239900
2014-12,New Hampshire,239000
2015-01,New Hampshire,239000
2015-02,New Hampshire,238950
2015-03,New Hampshire,239900
2015-04,New Hampshire,245900
2015-05,New Hampshire,249900
2015-06,New Hampshire,249900
2015-07,New Hampshire,249000
2015-08,New Hampshire,246900
2015-09,New Hampshire,245000
2015-10,New Hampshire,244900
2015-11,New Hampshire,244900
2015-12,New Hampshire,242500
2016-01,New Hampshire,239900
2016-02,New Hampshire,242500
2016-03,New Hampshire,249900
2016-04,New Hampshire,254900
2016-05,New Hampshire,259000
2016-06,New Hampshire,259900
2016-07,New Hampshire,263900
2016-08,New Hampshire,259900
2016-09,New Hampshire,259900
2016-10,New Hampshire,259900
2016-11,New Hampshire,259900
2016-12,New Hampshire,259900
2017-01,New Hampshire,259900
2017-02,New Hampshire,264900
2017-03,New Hampshire,269900
2017-04,New Hampshire,274900
2017-05,New Hampshire,278693
2017-06,New Hampshire,279900
2017-07,New Hampshire,279900
2017-08,New Hampshire,279000
2017-09,New Hampshire,279000
2017-10,New Hampshire,279900
2017-11,New Hampshire,279900
2017-12,New Hampshire,279900
