Date,State,Median_Listing_Price
1/31/2010,New Mexico,226500.0
2/28/2010,New Mexico,225000.0
3/31/2010,New Mexico,221900.0
4/30/2010,New Mexico,220000.0
5/31/2010,New Mexico,220000.0
6/30/2010,New Mexico,219900.0
7/31/2010,New Mexico,219000.0
8/31/2010,New Mexico,217900.0
9/30/2010,New Mexico,219500.0
10/31/2010,New Mexico,208600.0
11/30/2010,New Mexico,200000.0
12/31/2010,New Mexico,198500.0
1/31/2011,New Mexico,189900.0
2/28/2011,New Mexico,184900.0
3/31/2011,New Mexico,189000.0
4/30/2011,New Mexico,189900.0
5/31/2011,New Mexico,195000.0
6/30/2011,New Mexico,195000.0
7/31/2011,New Mexico,195000.0
8/31/2011,New Mexico,190000.0
9/30/2011,New Mexico,189900.0
10/31/2011,New Mexico,188900.0
11/30/2011,New Mexico,184000.0
12/31/2011,New Mexico,179000.0
1/31/2012,New Mexico,178000.0
2/29/2012,New Mexico,175000.0
3/31/2012,New Mexico,174900.0
4/30/2012,New Mexico,174900.0
5/31/2012,New Mexico,174900.0
6/30/2012,New Mexico,175000.0
7/31/2012,New Mexico,175000.0
8/31/2012,New Mexico,174990.0
9/30/2012,New Mexico,170000.0
10/31/2012,New Mexico,169900.0
11/30/2012,New Mexico,195000.0
12/31/2012,New Mexico,189900.0
1/31/2013,New Mexico,189900.0
2/28/2013,New Mexico,192650.0
3/31/2013,New Mexico,193300.0
4/30/2013,New Mexico,199000.0
5/31/2013,New Mexico,201267.0
6/30/2013,New Mexico,208301.5
7/31/2013,New Mexico,205000.0
8/31/2013,New Mexico,205000.0
9/30/2013,New Mexico,200000.0
10/31/2013,New Mexico,200000.0
11/30/2013,New Mexico,199500.0
12/31/2013,New Mexico,199000.0
1/31/2014,New Mexico,197500.0
2/28/2014,New Mexico,197900.0
3/31/2014,New Mexico,199000.0
4/30/2014,New Mexico,200000.0
5/31/2014,New Mexico,207000.0
6/30/2014,New Mexico,207000.0
7/31/2014,New Mexico,206000.0
8/31/2014,New Mexico,208990.0
9/30/2014,New Mexico,207500.0
10/31/2014,New Mexico,200000.0
11/30/2014,New Mexico,200000.0
12/31/2014,New Mexico,199900.0
1/31/2015,New Mexico,199500.0
2/28/2015,New Mexico,199900.0
3/31/2015,New Mexico,199950.0
4/30/2015,New Mexico,207000.0
5/31/2015,New Mexico,214900.0
6/30/2015,New Mexico,217000.0
7/31/2015,New Mexico,218000.0
8/31/2015,New Mexico,218000.0
9/30/2015,New Mexico,218000.0
10/31/2015,New Mexico,215000.0
11/30/2015,New Mexico,207500.0
12/31/2015,New Mexico,204900.0
1/31/2016,New Mexico,200000.0
2/29/2016,New Mexico,204900.0
3/31/2016,New Mexico,210000.0
4/30/2016,New Mexico,212500.0
5/31/2016,New Mexico,215400.0
6/30/2016,New Mexico,219000.0
7/31/2016,New Mexico,219500.0
8/31/2016,New Mexico,219500.0
9/30/2016,New Mexico,218000.0
10/31/2016,New Mexico,219000.0
11/30/2016,New Mexico,210950.0
12/31/2016,New Mexico,210000.0
1/31/2017,New Mexico,209500.0
2/28/2017,New Mexico,209900.0
3/31/2017,New Mexico,214900.0
4/30/2017,New Mexico,217000.0
5/31/2017,New Mexico,220000.0
6/30/2017,New Mexico,222250.0
7/31/2017,New Mexico,224650.0
8/31/2017,New Mexico,223000.0
9/30/2017,New Mexico,222900.0
10/31/2017,New Mexico,219900.0
11/30/2017,New Mexico,219000.0
12/31/2017,New Mexico,216925.0
