Date,State,Median_Listing_Price
12/31/2012,New York,300000.0
1/31/2013,New York,300000.0
2/28/2013,New York,319000.0
3/31/2013,New York,319900.0
4/30/2013,New York,315000.0
5/31/2013,New York,312900.0
6/30/2013,New York,299900.0
7/31/2013,New York,299000.0
8/31/2013,New York,290000.0
9/30/2013,New York,290000.0
10/31/2013,New York,299000.0
11/30/2013,New York,299900.0
12/31/2013,New York,299990.0
1/31/2014,New York,309000.0
2/28/2014,New York,320000.0
3/31/2014,New York,320314.0
4/30/2014,New York,325000.0
5/31/2014,New York,325000.0
6/30/2014,New York,329000.0
7/31/2014,New York,320000.0
8/31/2014,New York,319000.0
9/30/2014,New York,319000.0
10/31/2014,New York,319990.0
11/30/2014,New York,319999.5
12/31/2014,New York,319500.0
1/31/2015,New York,325000.0
2/28/2015,New York,329900.0
3/31/2015,New York,330000.0
4/30/2015,New York,329500.0
5/31/2015,New York,329000.0
6/30/2015,New York,334900.0
7/31/2015,New York,328345.0
8/31/2015,New York,319000.0
9/30/2015,New York,315000.0
10/31/2015,New York,319000.0
11/30/2015,New York,319000.0
12/31/2015,New York,319000.0
1/31/2016,New York,330000.0
2/29/2016,New York,339000.0
3/31/2016,New York,329999.0
4/30/2016,New York,347997.5
5/31/2016,New York,339000.0
6/30/2016,New York,339900.0
7/31/2016,New York,325000.0
8/31/2016,New York,319999.0
9/30/2016,New York,320000.0
10/31/2016,New York,320000.0
11/30/2016,New York,329000.0
12/31/2016,New York,328990.5
1/31/2017,New York,339000.0
2/28/2017,New York,349000.0
3/31/2017,New York,349900.0
4/30/2017,New York,349990.0
5/31/2017,New York,349000.0
6/30/2017,New York,344999.5
7/31/2017,New York,339900.0
8/31/2017,New York,329900.0
9/30/2017,New York,339000.0
10/31/2017,New York,339900.0
11/30/2017,New York,340000.0
12/31/2017,New York,345000.0
