Date,State,Median_Listing_Price
1/31/2010,North Carolina,189900.0
2/28/2010,North Carolina,189900.0
3/31/2010,North Carolina,189900.0
4/30/2010,North Carolina,189000.0
5/31/2010,North Carolina,187500.0
6/30/2010,North Carolina,185000.0
7/31/2010,North Carolina,184000.0
8/31/2010,North Carolina,179900.0
9/30/2010,North Carolina,184900.0
10/31/2010,North Carolina,179000.0
11/30/2010,North Carolina,174900.0
12/31/2010,North Carolina,169900.0
1/31/2011,North Carolina,165900.0
2/28/2011,North Carolina,165000.0
3/31/2011,North Carolina,169900.0
4/30/2011,North Carolina,170000.0
5/31/2011,North Carolina,175000.0
6/30/2011,North Carolina,179000.0
7/31/2011,North Carolina,179000.0
8/31/2011,North Carolina,175000.0
9/30/2011,North Carolina,171900.0
10/31/2011,North Carolina,169900.0
11/30/2011,North Carolina,165000.0
12/31/2011,North Carolina,164900.0
1/31/2012,North Carolina,169900.0
2/29/2012,North Carolina,169900.0
3/31/2012,North Carolina,170000.0
4/30/2012,North Carolina,169900.0
5/31/2012,North Carolina,169000.0
6/30/2012,North Carolina,167000.0
7/31/2012,North Carolina,165900.0
8/31/2012,North Carolina,165000.0
9/30/2012,North Carolina,162900.0
10/31/2012,North Carolina,164900.0
11/30/2012,North Carolina,179900.0
12/31/2012,North Carolina,179900.0
1/31/2013,North Carolina,179900.0
2/28/2013,North Carolina,184000.0
3/31/2013,North Carolina,187000.0
4/30/2013,North Carolina,189900.0
5/31/2013,North Carolina,194500.0
6/30/2013,North Carolina,199000.0
7/31/2013,North Carolina,195425.0
8/31/2013,North Carolina,195000.0
9/30/2013,North Carolina,195000.0
10/31/2013,North Carolina,195000.0
11/30/2013,North Carolina,189900.0
12/31/2013,North Carolina,194500.0
1/31/2014,North Carolina,189500.0
2/28/2014,North Carolina,189900.0
3/31/2014,North Carolina,195000.0
4/30/2014,North Carolina,198900.0
5/31/2014,North Carolina,199900.0
6/30/2014,North Carolina,199900.0
7/31/2014,North Carolina,199900.0
8/31/2014,North Carolina,199900.0
9/30/2014,North Carolina,199900.0
10/31/2014,North Carolina,199000.0
11/30/2014,North Carolina,199000.0
12/31/2014,North Carolina,195990.0
1/31/2015,North Carolina,197500.0
2/28/2015,North Carolina,199900.0
3/31/2015,North Carolina,199900.0
4/30/2015,North Carolina,205000.0
5/31/2015,North Carolina,214500.0
6/30/2015,North Carolina,215000.0
7/31/2015,North Carolina,215000.0
8/31/2015,North Carolina,215000.0
9/30/2015,North Carolina,215000.0
10/31/2015,North Carolina,215000.0
11/30/2015,North Carolina,214988.5
12/31/2015,North Carolina,214000.0
1/31/2016,North Carolina,216999.0
2/29/2016,North Carolina,219000.0
3/31/2016,North Carolina,221536.5
4/30/2016,North Carolina,225000.0
5/31/2016,North Carolina,228000.0
6/30/2016,North Carolina,229000.0
7/31/2016,North Carolina,229000.0
8/31/2016,North Carolina,229000.0
9/30/2016,North Carolina,229000.0
10/31/2016,North Carolina,229500.0
11/30/2016,North Carolina,229000.0
12/31/2016,North Carolina,229000.0
1/31/2017,North Carolina,225900.0
2/28/2017,North Carolina,229900.0
3/31/2017,North Carolina,235000.0
4/30/2017,North Carolina,245000.0
5/31/2017,North Carolina,249000.0
6/30/2017,North Carolina,249900.0
7/31/2017,North Carolina,249900.0
8/31/2017,North Carolina,249500.0
9/30/2017,North Carolina,249900.0
10/31/2017,North Carolina,250000.0
11/30/2017,North Carolina,250000.0
12/31/2017,North Carolina,250000.0
