Date,State,Median_Listing_Price
11/30/2013,Ohio,122900.0
12/31/2013,Ohio,120000.0
1/31/2014,Ohio,119900.0
2/28/2014,Ohio,124500.0
3/31/2014,Ohio,128000.0
4/30/2014,Ohio,129900.0
5/31/2014,Ohio,134900.0
6/30/2014,Ohio,135500.0
7/31/2014,Ohio,134900.0
8/31/2014,Ohio,132900.0
9/30/2014,Ohio,129999.0
10/31/2014,Ohio,129900.0
11/30/2014,Ohio,127500.0
12/31/2014,Ohio,124900.0
1/31/2015,Ohio,125000.0
2/28/2015,Ohio,129900.0
3/31/2015,Ohio,132900.0
4/30/2015,Ohio,135000.0
5/31/2015,Ohio,139000.0
6/30/2015,Ohio,139725.0
7/31/2015,Ohio,139500.0
8/31/2015,Ohio,137400.0
9/30/2015,Ohio,135000.0
10/31/2015,Ohio,133900.0
11/30/2015,Ohio,130550.0
12/31/2015,Ohio,129900.0
1/31/2016,Ohio,129900.0
2/29/2016,Ohio,129900.0
3/31/2016,Ohio,134900.0
4/30/2016,Ohio,139900.0
5/31/2016,Ohio,143900.0
6/30/2016,Ohio,144900.0
7/31/2016,Ohio,144900.0
8/31/2016,Ohio,139900.0
9/30/2016,Ohio,139900.0
10/31/2016,Ohio,139900.0
11/30/2016,Ohio,138000.0
12/31/2016,Ohio,134900.0
1/31/2017,Ohio,134900.0
2/28/2017,Ohio,136900.0
3/31/2017,Ohio,144900.0
4/30/2017,Ohio,149900.0
5/31/2017,Ohio,154900.0
6/30/2017,Ohio,155900.0
7/31/2017,Ohio,155000.0
8/31/2017,Ohio,155000.0
9/30/2017,Ohio,154900.0
10/31/2017,Ohio,154900.0
11/30/2017,Ohio,149900.0
12/31/2017,Ohio,148500.0
