Date,State,Median_Listing_Price
2013-11,Oklahoma,144900
2013-12,Oklahoma,145000
2014-01,Oklahoma,144900
2014-02,Oklahoma,145900
2014-03,Oklahoma,147800
2014-04,Oklahoma,149900
2014-05,Oklahoma,150000
2014-06,Oklahoma,151227
2014-07,Oklahoma,152280
2014-08,Oklahoma,154000
2014-09,Oklahoma,153000
2014-10,Oklahoma,150000
2014-11,Oklahoma,153599
2014-12,Oklahoma,149900
2015-01,Oklahoma,154900
2015-02,Oklahoma,157588
2015-03,Oklahoma,159000
2015-04,Oklahoma,159900
2015-05,Oklahoma,160000
2015-06,Oklahoma,161495
2015-07,Oklahoma,162500
2015-08,Oklahoma,162000
2015-09,Oklahoma,164500
2015-10,Oklahoma,162500
2015-11,Oklahoma,163900
2015-12,Oklahoma,163500
2016-01,Oklahoma,164900
2016-02,Oklahoma,163000
2016-03,Oklahoma,165579
2016-04,Oklahoma,169000
2016-05,Oklahoma,169900
2016-06,Oklahoma,172000
2016-07,Oklahoma,172500
2016-08,Oklahoma,170181
2016-09,Oklahoma,170155
2016-10,Oklahoma,170000
2016-11,Oklahoma,171260
2016-12,Oklahoma,173405
2017-01,Oklahoma,170000
2017-02,Oklahoma,170000
2017-03,Oklahoma,172900
2017-04,Oklahoma,175000
2017-05,Oklahoma,179000
2017-06,Oklahoma,179900
2017-07,Oklahoma,179900
2017-08,Oklahoma,179000
2017-09,Oklahoma,179900
2017-10,Oklahoma,179000
2017-11,Oklahoma,178900
2017-12,Oklahoma,175000
