Date,State,Median_Listing_Price
2013-11,Oregon,252500
2013-12,Oregon,249900
2014-01,Oregon,249900
2014-02,Oregon,250000
2014-03,Oregon,255000
2014-04,Oregon,262998
2014-05,Oregon,259900
2014-06,Oregon,268500
2014-07,Oregon,270000
2014-08,Oregon,269900
2014-09,Oregon,269000
2014-10,Oregon,264990
2014-11,Oregon,264900
2014-12,Oregon,259900
2015-01,Oregon,260000
2015-02,Oregon,265000
2015-03,Oregon,270000
2015-04,Oregon,275000
2015-05,Oregon,279900
2015-06,Oregon,285000
2015-07,Oregon,285000
2015-08,Oregon,286900
2015-09,Oregon,289000
2015-10,Oregon,289900
2015-11,Oregon,289900
2015-12,Oregon,289000
2016-01,Oregon,288625
2016-02,Oregon,289900
2016-03,Oregon,299000
2016-04,Oregon,300000
2016-05,Oregon,315000
2016-06,Oregon,319900
2016-07,Oregon,324900
2016-08,Oregon,324900
2016-09,Oregon,325000
2016-10,Oregon,325000
2016-11,Oregon,324900
2016-12,Oregon,322250
2017-01,Oregon,320000
2017-02,Oregon,325000
2017-03,Oregon,329900
2017-04,Oregon,340000
2017-05,Oregon,349900
2017-06,Oregon,353990
2017-07,Oregon,357995
2017-08,Oregon,350000
2017-09,Oregon,353993
2017-10,Oregon,354900
2017-11,Oregon,350000
2017-12,Oregon,350000
