Date,State,Median_Listing_Price
1/31/2010,Pennsylvania,169900.0
2/28/2010,Pennsylvania,169900.0
3/31/2010,Pennsylvania,174900.0
4/30/2010,Pennsylvania,174500.0
5/31/2010,Pennsylvania,170000.0
6/30/2010,Pennsylvania,169900.0
7/31/2010,Pennsylvania,169900.0
8/31/2010,Pennsylvania,169900.0
9/30/2010,Pennsylvania,169999.0
10/31/2010,Pennsylvania,169400.0
11/30/2010,Pennsylvania,165000.0
12/31/2010,Pennsylvania,164290.5
1/31/2011,Pennsylvania,160000.0
2/28/2011,Pennsylvania,164900.0
3/31/2011,Pennsylvania,165000.0
4/30/2011,Pennsylvania,167500.0
5/31/2011,Pennsylvania,169900.0
6/30/2011,Pennsylvania,169900.0
7/31/2011,Pennsylvania,169900.0
8/31/2011,Pennsylvania,169900.0
9/30/2011,Pennsylvania,165000.0
10/31/2011,Pennsylvania,164500.0
11/30/2011,Pennsylvania,159900.0
12/31/2011,Pennsylvania,158000.0
1/31/2012,Pennsylvania,159000.0
2/29/2012,Pennsylvania,159000.0
3/31/2012,Pennsylvania,159900.0
4/30/2012,Pennsylvania,159900.0
5/31/2012,Pennsylvania,159900.0
6/30/2012,Pennsylvania,159900.0
7/31/2012,Pennsylvania,156900.0
8/31/2012,Pennsylvania,150000.0
9/30/2012,Pennsylvania,149900.0
10/31/2012,Pennsylvania,149900.0
11/30/2012,Pennsylvania,165000.0
12/31/2012,Pennsylvania,162500.0
1/31/2013,Pennsylvania,163900.0
2/28/2013,Pennsylvania,168400.0
3/31/2013,Pennsylvania,169900.0
4/30/2013,Pennsylvania,173000.0
5/31/2013,Pennsylvania,179900.0
6/30/2013,Pennsylvania,179900.0
7/31/2013,Pennsylvania,175000.0
8/31/2013,Pennsylvania,170000.0
9/30/2013,Pennsylvania,172900.0
10/31/2013,Pennsylvania,169900.0
11/30/2013,Pennsylvania,169900.0
12/31/2013,Pennsylvania,174900.0
1/31/2014,Pennsylvania,169000.0
2/28/2014,Pennsylvania,169900.0
3/31/2014,Pennsylvania,173500.0
4/30/2014,Pennsylvania,179900.0
5/31/2014,Pennsylvania,180900.0
6/30/2014,Pennsylvania,181240.0
7/31/2014,Pennsylvania,179900.0
8/31/2014,Pennsylvania,175000.0
9/30/2014,Pennsylvania,175000.0
10/31/2014,Pennsylvania,177500.0
11/30/2014,Pennsylvania,174000.0
12/31/2014,Pennsylvania,169900.0
1/31/2015,Pennsylvania,169900.0
2/28/2015,Pennsylvania,170000.0
3/31/2015,Pennsylvania,177900.0
4/30/2015,Pennsylvania,179900.0
5/31/2015,Pennsylvania,185000.0
6/30/2015,Pennsylvania,184900.0
7/31/2015,Pennsylvania,179900.0
8/31/2015,Pennsylvania,178800.0
9/30/2015,Pennsylvania,179900.0
10/31/2015,Pennsylvania,175000.0
11/30/2015,Pennsylvania,174900.0
12/31/2015,Pennsylvania,169900.0
1/31/2016,Pennsylvania,169000.0
2/29/2016,Pennsylvania,167900.0
3/31/2016,Pennsylvania,174900.0
4/30/2016,Pennsylvania,179000.0
5/31/2016,Pennsylvania,179900.0
6/30/2016,Pennsylvania,184900.0
7/31/2016,Pennsylvania,179900.0
8/31/2016,Pennsylvania,175000.0
9/30/2016,Pennsylvania,176750.0
10/31/2016,Pennsylvania,179900.0
11/30/2016,Pennsylvania,174900.0
12/31/2016,Pennsylvania,170000.0
1/31/2017,Pennsylvania,169900.0
2/28/2017,Pennsylvania,174900.0
3/31/2017,Pennsylvania,189000.0
4/30/2017,Pennsylvania,195000.0
5/31/2017,Pennsylvania,195000.0
6/30/2017,Pennsylvania,194900.0
7/31/2017,Pennsylvania,194500.0
8/31/2017,Pennsylvania,189900.0
9/30/2017,Pennsylvania,189900.0
10/31/2017,Pennsylvania,190000.0
11/30/2017,Pennsylvania,189950.0
12/31/2017,Pennsylvania,188700.0
