Date,State,Median_Listing_Price
1/31/2010,Rhode Island,259000.0
2/28/2010,Rhode Island,250000.0
3/31/2010,Rhode Island,249900.0
4/30/2010,Rhode Island,254900.0
5/31/2010,Rhode Island,255000.0
6/30/2010,Rhode Island,250000.0
7/31/2010,Rhode Island,250000.0
8/31/2010,Rhode Island,259000.0
9/30/2010,Rhode Island,259000.0
10/31/2010,Rhode Island,249900.0
11/30/2010,Rhode Island,244000.0
12/31/2010,Rhode Island,239900.0
1/31/2011,Rhode Island,234900.0
2/28/2011,Rhode Island,229900.0
3/31/2011,Rhode Island,229999.0
4/30/2011,Rhode Island,235000.0
5/31/2011,Rhode Island,237450.0
6/30/2011,Rhode Island,238000.0
7/31/2011,Rhode Island,234900.0
8/31/2011,Rhode Island,234900.0
9/30/2011,Rhode Island,229900.0
10/31/2011,Rhode Island,229000.0
11/30/2011,Rhode Island,219900.0
12/31/2011,Rhode Island,213900.0
1/31/2012,Rhode Island,214900.0
2/29/2012,Rhode Island,214650.0
3/31/2012,Rhode Island,219900.0
4/30/2012,Rhode Island,225000.0
5/31/2012,Rhode Island,229900.0
6/30/2012,Rhode Island,234900.0
7/31/2012,Rhode Island,234500.0
8/31/2012,Rhode Island,234000.0
9/30/2012,Rhode Island,234700.0
10/31/2012,Rhode Island,235000.0
11/30/2012,Rhode Island,239000.0
12/31/2012,Rhode Island,238900.0
1/31/2013,Rhode Island,234949.5
2/28/2013,Rhode Island,239000.0
3/31/2013,Rhode Island,239900.0
4/30/2013,Rhode Island,249900.0
5/31/2013,Rhode Island,249900.0
6/30/2013,Rhode Island,253500.0
7/31/2013,Rhode Island,249900.0
8/31/2013,Rhode Island,249900.0
9/30/2013,Rhode Island,249900.0
10/31/2013,Rhode Island,249900.0
11/30/2013,Rhode Island,249000.0
12/31/2013,Rhode Island,249000.0
1/31/2014,Rhode Island,240000.0
2/28/2014,Rhode Island,249900.0
3/31/2014,Rhode Island,249900.0
4/30/2014,Rhode Island,253000.0
5/31/2014,Rhode Island,259900.0
6/30/2014,Rhode Island,259900.0
7/31/2014,Rhode Island,265900.0
8/31/2014,Rhode Island,259900.0
9/30/2014,Rhode Island,259000.0
10/31/2014,Rhode Island,254000.0
11/30/2014,Rhode Island,249900.0
12/31/2014,Rhode Island,249000.0
1/31/2015,Rhode Island,249000.0
2/28/2015,Rhode Island,249900.0
3/31/2015,Rhode Island,249900.0
4/30/2015,Rhode Island,259000.0
5/31/2015,Rhode Island,260000.0
6/30/2015,Rhode Island,269000.0
7/31/2015,Rhode Island,269900.0
8/31/2015,Rhode Island,269900.0
9/30/2015,Rhode Island,269605.5
10/31/2015,Rhode Island,269000.0
11/30/2015,Rhode Island,269000.0
12/31/2015,Rhode Island,264000.0
1/31/2016,Rhode Island,259900.0
2/29/2016,Rhode Island,259000.0
3/31/2016,Rhode Island,265000.0
4/30/2016,Rhode Island,269900.0
5/31/2016,Rhode Island,279000.0
6/30/2016,Rhode Island,279000.0
7/31/2016,Rhode Island,279900.0
8/31/2016,Rhode Island,275000.0
9/30/2016,Rhode Island,275000.0
10/31/2016,Rhode Island,274900.0
11/30/2016,Rhode Island,269900.0
12/31/2016,Rhode Island,269900.0
1/31/2017,Rhode Island,265000.0
2/28/2017,Rhode Island,274900.0
3/31/2017,Rhode Island,279300.0
4/30/2017,Rhode Island,289900.0
5/31/2017,Rhode Island,299000.0
6/30/2017,Rhode Island,299900.0
7/31/2017,Rhode Island,299000.0
8/31/2017,Rhode Island,299000.0
9/30/2017,Rhode Island,299000.0
10/31/2017,Rhode Island,289900.0
11/30/2017,Rhode Island,289000.0
12/31/2017,Rhode Island,280000.0
