Date,State,Median_Listing_Price
2013-11,South Carolina,179000
2013-12,South Carolina,179900
2014-01,South Carolina,179900
2014-02,South Carolina,181500
2014-03,South Carolina,185000
2014-04,South Carolina,187920
2014-05,South Carolina,189900
2014-06,South Carolina,189900
2014-07,South Carolina,189900
2014-08,South Carolina,189000
2014-09,South Carolina,189900
2014-10,South Carolina,190185
2014-11,South Carolina,192990
2014-12,South Carolina,191900
2015-01,South Carolina,190000
2015-02,South Carolina,194900
2015-03,South Carolina,195000
2015-04,South Carolina,199900
2015-05,South Carolina,200884
2015-06,South Carolina,199900
2015-07,South Carolina,208000
2015-08,South Carolina,204000
2015-09,South Carolina,208640
2015-10,South Carolina,208400
2015-11,South Carolina,209900
2015-12,South Carolina,210040
2016-01,South Carolina,212990
2016-02,South Carolina,215000
2016-03,South Carolina,219094
2016-04,South Carolina,219900
2016-05,South Carolina,219900
2016-06,South Carolina,222990
2016-07,South Carolina,224900
2016-08,South Carolina,219900
2016-09,South Carolina,219900
2016-10,South Carolina,219900
2016-11,South Carolina,219900
2016-12,South Carolina,219000
2017-01,South Carolina,219000
2017-02,South Carolina,220000
2017-03,South Carolina,225000
2017-04,South Carolina,229900
2017-05,South Carolina,230000
2017-06,South Carolina,233900
2017-07,South Carolina,234900
2017-08,South Carolina,234900
2017-09,South Carolina,239000
2017-10,South Carolina,239900
2017-11,South Carolina,239900
2017-12,South Carolina,239000
