Date,State,Median_Listing_Price
1/31/2010,South Dakota,174900.0
2/28/2010,South Dakota,169900.0
3/31/2010,South Dakota,169000.0
4/30/2010,South Dakota,165000.0
5/31/2010,South Dakota,168900.0
6/30/2010,South Dakota,169500.0
7/31/2010,South Dakota,169900.0
8/31/2010,South Dakota,169900.0
9/30/2010,South Dakota,165700.0
10/31/2010,South Dakota,164900.0
11/30/2010,South Dakota,164900.0
12/31/2010,South Dakota,162900.0
1/31/2011,South Dakota,159900.0
2/28/2011,South Dakota,159900.0
3/31/2011,South Dakota,159000.0
4/30/2011,South Dakota,159500.0
5/31/2011,South Dakota,165000.0
6/30/2011,South Dakota,165000.0
7/31/2011,South Dakota,165000.0
8/31/2011,South Dakota,164900.0
9/30/2011,South Dakota,164900.0
10/31/2011,South Dakota,161000.0
11/30/2011,South Dakota,159900.0
12/31/2011,South Dakota,159900.0
1/31/2012,South Dakota,159900.0
2/29/2012,South Dakota,159900.0
3/31/2012,South Dakota,159900.0
4/30/2012,South Dakota,159900.0
5/31/2012,South Dakota,159900.0
6/30/2012,South Dakota,159900.0
7/31/2012,South Dakota,159900.0
8/31/2012,South Dakota,159900.0
9/30/2012,South Dakota,159000.0
10/31/2012,South Dakota,156500.0
11/30/2012,South Dakota,159000.0
12/31/2012,South Dakota,158700.0
1/31/2013,South Dakota,157900.0
2/28/2013,South Dakota,159900.0
3/31/2013,South Dakota,161900.0
4/30/2013,South Dakota,164900.0
5/31/2013,South Dakota,167800.0
6/30/2013,South Dakota,169900.0
7/31/2013,South Dakota,169900.0
8/31/2013,South Dakota,169900.0
9/30/2013,South Dakota,169900.0
10/31/2013,South Dakota,169900.0
11/30/2013,South Dakota,169500.0
12/31/2013,South Dakota,167900.0
1/31/2014,South Dakota,169900.0
2/28/2014,South Dakota,169700.0
3/31/2014,South Dakota,172500.0
4/30/2014,South Dakota,173000.0
5/31/2014,South Dakota,174900.0
6/30/2014,South Dakota,175800.0
7/31/2014,South Dakota,178950.0
8/31/2014,South Dakota,177500.0
9/30/2014,South Dakota,178900.0
10/31/2014,South Dakota,175000.0
11/30/2014,South Dakota,173500.0
12/31/2014,South Dakota,169900.0
1/31/2015,South Dakota,169900.0
2/28/2015,South Dakota,169900.0
3/31/2015,South Dakota,175900.0
4/30/2015,South Dakota,179400.0
5/31/2015,South Dakota,189000.0
6/30/2015,South Dakota,189900.0
7/31/2015,South Dakota,198500.0
8/31/2015,South Dakota,197500.0
9/30/2015,South Dakota,194900.0
10/31/2015,South Dakota,189900.0
11/30/2015,South Dakota,189900.0
12/31/2015,South Dakota,189900.0
1/31/2016,South Dakota,189900.0
2/29/2016,South Dakota,190000.0
3/31/2016,South Dakota,194900.0
4/30/2016,South Dakota,199900.0
5/31/2016,South Dakota,200000.0
6/30/2016,South Dakota,205000.0
7/31/2016,South Dakota,202000.0
8/31/2016,South Dakota,199900.0
9/30/2016,South Dakota,199900.0
10/31/2016,South Dakota,199900.0
11/30/2016,South Dakota,200000.0
12/31/2016,South Dakota,203350.0
1/31/2017,South Dakota,202250.0
2/28/2017,South Dakota,205900.0
3/31/2017,South Dakota,209000.0
4/30/2017,South Dakota,209999.5
5/31/2017,South Dakota,212000.0
6/30/2017,South Dakota,214500.0
7/31/2017,South Dakota,215000.0
8/31/2017,South Dakota,214500.0
9/30/2017,South Dakota,215000.0
10/31/2017,South Dakota,217000.0
11/30/2017,South Dakota,217000.0
12/31/2017,South Dakota,217900.0
