Date,State,Median_Listing_Price
2013-11,Tennessee,164900
2013-12,Tennessee,164900
2014-01,Tennessee,162900
2014-02,Tennessee,164900
2014-03,Tennessee,169000
2014-04,Tennessee,169900
2014-05,Tennessee,174900
2014-06,Tennessee,174900
2014-07,Tennessee,174900
2014-08,Tennessee,174900
2014-09,Tennessee,173500
2014-10,Tennessee,173500
2014-11,Tennessee,169900
2014-12,Tennessee,169900
2015-01,Tennessee,169900
2015-02,Tennessee,174900
2015-03,Tennessee,170000
2015-04,Tennessee,176175
2015-05,Tennessee,183900
2015-06,Tennessee,185000
2015-07,Tennessee,185000
2015-08,Tennessee,184900
2015-09,Tennessee,184900
2015-10,Tennessee,179900
2015-11,Tennessee,179900
2015-12,Tennessee,179900
2016-01,Tennessee,179900
2016-02,Tennessee,179900
2016-03,Tennessee,180000
2016-04,Tennessee,189900
2016-05,Tennessee,194900
2016-06,Tennessee,196850
2016-07,Tennessee,199900
2016-08,Tennessee,199500
2016-09,Tennessee,199500
2016-10,Tennessee,199500
2016-11,Tennessee,199500
2016-12,Tennessee,199000
2017-01,Tennessee,195902
2017-02,Tennessee,199900
2017-03,Tennessee,208900
2017-04,Tennessee,214900
2017-05,Tennessee,219900
2017-06,Tennessee,223400
2017-07,Tennessee,224990
2017-08,Tennessee,224900
2017-09,Tennessee,225000
2017-10,Tennessee,225000
2017-11,Tennessee,225000
2017-12,Tennessee,224900
