Date,State,Median_Listing_Price
1/31/2010,Texas,160000.0
2/28/2010,Texas,161000.0
3/31/2010,Texas,162255.0
4/30/2010,Texas,163900.0
5/31/2010,Texas,162990.0
6/30/2010,Texas,164000.0
7/31/2010,Texas,160000.0
8/31/2010,Texas,160439.0
9/30/2010,Texas,169990.0
10/31/2010,Texas,169100.5
11/30/2010,Texas,165000.0
12/31/2010,Texas,160990.0
1/31/2011,Texas,159900.0
2/28/2011,Texas,159900.0
3/31/2011,Texas,162900.0
4/30/2011,Texas,164900.0
5/31/2011,Texas,167459.0
6/30/2011,Texas,168000.0
7/31/2011,Texas,166500.0
8/31/2011,Texas,165000.0
9/30/2011,Texas,159900.0
10/31/2011,Texas,159000.0
11/30/2011,Texas,155000.0
12/31/2011,Texas,153500.0
1/31/2012,Texas,154900.0
2/29/2012,Texas,155000.0
3/31/2012,Texas,156990.0
4/30/2012,Texas,159500.0
5/31/2012,Texas,159900.0
6/30/2012,Texas,160000.0
7/31/2012,Texas,159900.0
8/31/2012,Texas,159813.5
9/30/2012,Texas,158000.0
10/31/2012,Texas,159900.0
11/30/2012,Texas,172950.0
12/31/2012,Texas,174900.0
1/31/2013,Texas,174438.5
2/28/2013,Texas,179163.0
3/31/2013,Texas,182500.0
4/30/2013,Texas,185000.0
5/31/2013,Texas,189000.0
6/30/2013,Texas,189900.0
7/31/2013,Texas,189900.0
8/31/2013,Texas,189900.0
9/30/2013,Texas,189990.0
10/31/2013,Texas,193550.0
11/30/2013,Texas,189900.0
12/31/2013,Texas,190000.0
1/31/2014,Texas,189900.0
2/28/2014,Texas,195000.0
3/31/2014,Texas,199900.0
4/30/2014,Texas,208990.0
5/31/2014,Texas,214895.0
6/30/2014,Texas,210000.0
7/31/2014,Texas,211900.0
8/31/2014,Texas,218000.0
9/30/2014,Texas,215106.0
10/31/2014,Texas,215000.0
11/30/2014,Texas,215000.0
12/31/2014,Texas,220997.0
1/31/2015,Texas,225000.0
2/28/2015,Texas,230000.0
3/31/2015,Texas,238990.0
4/30/2015,Texas,242000.0
5/31/2015,Texas,242000.0
6/30/2015,Texas,243780.5
7/31/2015,Texas,245000.0
8/31/2015,Texas,246990.0
9/30/2015,Texas,248000.0
10/31/2015,Texas,249500.0
11/30/2015,Texas,249900.0
12/31/2015,Texas,252990.0
1/31/2016,Texas,250000.0
2/29/2016,Texas,244900.0
3/31/2016,Texas,249900.0
4/30/2016,Texas,250000.0
5/31/2016,Texas,255000.0
6/30/2016,Texas,255900.0
7/31/2016,Texas,255990.0
8/31/2016,Texas,254995.0
9/30/2016,Texas,253760.0
10/31/2016,Texas,257640.0
11/30/2016,Texas,250000.0
12/31/2016,Texas,249995.0
1/31/2017,Texas,249900.0
2/28/2017,Texas,255000.0
3/31/2017,Texas,263837.5
4/30/2017,Texas,269900.0
5/31/2017,Texas,272000.0
6/30/2017,Texas,274644.5
7/31/2017,Texas,270000.0
8/31/2017,Texas,269900.0
9/30/2017,Texas,269000.0
10/31/2017,Texas,269000.0
11/30/2017,Texas,269000.0
12/31/2017,Texas,269000.0
