Date,State,Median_Listing_Price
2013-11,Utah,234900
2013-12,Utah,235000
2014-01,Utah,232000
2014-02,Utah,235000
2014-03,Utah,235000
2014-04,Utah,244900
2014-05,Utah,249000
2014-06,Utah,249900
2014-07,Utah,249900
2014-08,Utah,249980
2014-09,Utah,250000
2014-10,Utah,249900
2014-11,Utah,249000
2014-12,Utah,249900
2015-01,Utah,255000
2015-02,Utah,259000
2015-03,Utah,262900
2015-04,Utah,269900
2015-05,Utah,272200
2015-06,Utah,279000
2015-07,Utah,279900
2015-08,Utah,284000
2015-09,Utah,285000
2015-10,Utah,285000
2015-11,Utah,288500
2015-12,Utah,289999
2016-01,Utah,294900
2016-02,Utah,294425
2016-03,Utah,299000
2016-04,Utah,298416
2016-05,Utah,299000
2016-06,Utah,299000
2016-07,Utah,299000
2016-08,Utah,299000
2016-09,Utah,299900
2016-10,Utah,299500
2016-11,Utah,299900
2016-12,Utah,305000
2017-01,Utah,305000
2017-02,Utah,309900
2017-03,Utah,315000
2017-04,Utah,320000
2017-05,Utah,325000
2017-06,Utah,329000
2017-07,Utah,329500
2017-08,Utah,328935
2017-09,Utah,329000
2017-10,Utah,329900
2017-11,Utah,334890
2017-12,Utah,337500
