Date,State,Median_Listing_Price
1/31/2010,Vermont,249900.0
2/28/2010,Vermont,249900.0
3/31/2010,Vermont,249500.0
4/30/2010,Vermont,249000.0
5/31/2010,Vermont,249900.0
6/30/2010,Vermont,249900.0
7/31/2010,Vermont,249900.0
8/31/2010,Vermont,249000.0
9/30/2010,Vermont,247900.0
10/31/2010,Vermont,247000.0
11/30/2010,Vermont,249000.0
12/31/2010,Vermont,244900.0
1/31/2011,Vermont,244900.0
2/28/2011,Vermont,239000.0
3/31/2011,Vermont,239000.0
4/30/2011,Vermont,239000.0
5/31/2011,Vermont,239900.0
6/30/2011,Vermont,240000.0
7/31/2011,Vermont,245000.0
8/31/2011,Vermont,245000.0
9/30/2011,Vermont,245000.0
10/31/2011,Vermont,244900.0
11/30/2011,Vermont,239900.0
12/31/2011,Vermont,239900.0
1/31/2012,Vermont,239002.0
2/29/2012,Vermont,239000.0
3/31/2012,Vermont,239000.0
4/30/2012,Vermont,235000.0
5/31/2012,Vermont,237500.0
6/30/2012,Vermont,239000.0
7/31/2012,Vermont,237000.0
8/31/2012,Vermont,234000.0
9/30/2012,Vermont,229900.0
10/31/2012,Vermont,229500.0
11/30/2012,Vermont,229000.0
12/31/2012,Vermont,229000.0
1/31/2013,Vermont,229900.0
2/28/2013,Vermont,234900.0
3/31/2013,Vermont,229900.0
4/30/2013,Vermont,235000.0
5/31/2013,Vermont,234000.0
6/30/2013,Vermont,234000.0
7/31/2013,Vermont,234000.0
8/31/2013,Vermont,234500.0
9/30/2013,Vermont,229900.0
10/31/2013,Vermont,230000.0
11/30/2013,Vermont,229500.0
12/31/2013,Vermont,229000.0
1/31/2014,Vermont,229900.0
2/28/2014,Vermont,230000.0
3/31/2014,Vermont,235000.0
4/30/2014,Vermont,235000.0
5/31/2014,Vermont,238500.0
6/30/2014,Vermont,239000.0
7/31/2014,Vermont,235000.0
8/31/2014,Vermont,230000.0
9/30/2014,Vermont,229900.0
10/31/2014,Vermont,229500.0
11/30/2014,Vermont,229700.0
12/31/2014,Vermont,229500.0
1/31/2015,Vermont,229000.0
2/28/2015,Vermont,229000.0
3/31/2015,Vermont,229000.0
4/30/2015,Vermont,229000.0
5/31/2015,Vermont,234000.0
6/30/2015,Vermont,235000.0
7/31/2015,Vermont,234000.0
8/31/2015,Vermont,234000.0
9/30/2015,Vermont,229900.0
10/31/2015,Vermont,230000.0
11/30/2015,Vermont,232000.0
12/31/2015,Vermont,233000.0
1/31/2016,Vermont,232500.0
2/29/2016,Vermont,231059.0
3/31/2016,Vermont,235000.0
4/30/2016,Vermont,238950.0
5/31/2016,Vermont,239000.0
6/30/2016,Vermont,239600.0
7/31/2016,Vermont,239900.0
8/31/2016,Vermont,239000.0
9/30/2016,Vermont,239000.0
10/31/2016,Vermont,239000.0
11/30/2016,Vermont,239000.0
12/31/2016,Vermont,239000.0
1/31/2017,Vermont,239000.0
2/28/2017,Vermont,239000.0
3/31/2017,Vermont,239000.0
4/30/2017,Vermont,239900.0
5/31/2017,Vermont,245000.0
6/30/2017,Vermont,246500.0
7/31/2017,Vermont,247500.0
8/31/2017,Vermont,246500.0
9/30/2017,Vermont,249000.0
10/31/2017,Vermont,249000.0
11/30/2017,Vermont,249900.0
12/31/2017,Vermont,249900.0
