Date,State,Median_Listing_Price
1/31/2010,Virginia,230000.0
2/28/2010,Virginia,231233.0
3/31/2010,Virginia,234950.0
4/30/2010,Virginia,235000.0
5/31/2010,Virginia,234900.0
6/30/2010,Virginia,232000.0
7/31/2010,Virginia,230000.0
8/31/2010,Virginia,229900.0
9/30/2010,Virginia,235000.0
10/31/2010,Virginia,229900.0
11/30/2010,Virginia,224900.0
12/31/2010,Virginia,219000.0
1/31/2011,Virginia,210000.0
2/28/2011,Virginia,212900.0
3/31/2011,Virginia,220000.0
4/30/2011,Virginia,224900.0
5/31/2011,Virginia,229000.0
6/30/2011,Virginia,229900.0
7/31/2011,Virginia,227500.0
8/31/2011,Virginia,225000.0
9/30/2011,Virginia,224900.0
10/31/2011,Virginia,219000.0
11/30/2011,Virginia,209900.0
12/31/2011,Virginia,199900.0
1/31/2012,Virginia,199900.0
2/29/2012,Virginia,200000.0
3/31/2012,Virginia,209900.0
4/30/2012,Virginia,215000.0
5/31/2012,Virginia,219900.0
6/30/2012,Virginia,219900.0
7/31/2012,Virginia,217990.0
8/31/2012,Virginia,214900.0
9/30/2012,Virginia,207000.0
10/31/2012,Virginia,209900.0
11/30/2012,Virginia,227500.0
12/31/2012,Virginia,225000.0
1/31/2013,Virginia,225000.0
2/28/2013,Virginia,229900.0
3/31/2013,Virginia,235000.0
4/30/2013,Virginia,245000.0
5/31/2013,Virginia,249500.0
6/30/2013,Virginia,249900.0
7/31/2013,Virginia,249000.0
8/31/2013,Virginia,245000.0
9/30/2013,Virginia,244990.0
10/31/2013,Virginia,240000.0
11/30/2013,Virginia,237215.0
12/31/2013,Virginia,235000.0
1/31/2014,Virginia,235000.0
2/28/2014,Virginia,238650.0
3/31/2014,Virginia,249000.0
4/30/2014,Virginia,259000.0
5/31/2014,Virginia,264950.0
6/30/2014,Virginia,265900.0
7/31/2014,Virginia,265000.0
8/31/2014,Virginia,264900.0
9/30/2014,Virginia,264500.0
10/31/2014,Virginia,259900.0
11/30/2014,Virginia,257000.0
12/31/2014,Virginia,249950.0
1/31/2015,Virginia,249500.0
2/28/2015,Virginia,255000.0
3/31/2015,Virginia,264950.0
4/30/2015,Virginia,274950.0
5/31/2015,Virginia,279000.0
6/30/2015,Virginia,279900.0
7/31/2015,Virginia,269995.0
8/31/2015,Virginia,274900.0
9/30/2015,Virginia,274900.0
10/31/2015,Virginia,274900.0
11/30/2015,Virginia,269900.0
12/31/2015,Virginia,265995.0
1/31/2016,Virginia,264887.0
2/29/2016,Virginia,259900.0
3/31/2016,Virginia,275000.0
4/30/2016,Virginia,285900.0
5/31/2016,Virginia,289900.0
6/30/2016,Virginia,289900.0
7/31/2016,Virginia,285000.0
8/31/2016,Virginia,279900.0
9/30/2016,Virginia,279900.0
10/31/2016,Virginia,277990.0
11/30/2016,Virginia,274950.0
12/31/2016,Virginia,269900.0
1/31/2017,Virginia,268990.0
2/28/2017,Virginia,274999.0
3/31/2017,Virginia,289000.0
4/30/2017,Virginia,299000.0
5/31/2017,Virginia,299900.0
6/30/2017,Virginia,299990.0
7/31/2017,Virginia,299900.0
8/31/2017,Virginia,295000.0
9/30/2017,Virginia,298000.0
10/31/2017,Virginia,299000.0
11/30/2017,Virginia,297000.0
12/31/2017,Virginia,289000.0
