Date,State,Median_Listing_Price
2013-11,Washington,257600
2013-12,Washington,255000
2014-01,Washington,249900
2014-02,Washington,250000
2014-03,Washington,259950
2014-04,Washington,269000
2014-05,Washington,274950
2014-06,Washington,279500
2014-07,Washington,279900
2014-08,Washington,279950
2014-09,Washington,279900
2014-10,Washington,275100
2014-11,Washington,265000
2014-12,Washington,249950
2015-01,Washington,259900
2015-02,Washington,269900
2015-03,Washington,276650
2015-04,Washington,284900
2015-05,Washington,289900
2015-06,Washington,291995
2015-07,Washington,289950
2015-08,Washington,295000
2015-09,Washington,294900
2015-10,Washington,292000
2015-11,Washington,289950
2015-12,Washington,286500
2016-01,Washington,284950
2016-02,Washington,285000
2016-03,Washington,289950
2016-04,Washington,299000
2016-05,Washington,304900
2016-06,Washington,314900
2016-07,Washington,315000
2016-08,Washington,315000
2016-09,Washington,315000
2016-10,Washington,315900
2016-11,Washington,314900
2016-12,Washington,309000
2017-01,Washington,305000
2017-02,Washington,315000
2017-03,Washington,329000
2017-04,Washington,338000
2017-05,Washington,349000
2017-06,Washington,350000
2017-07,Washington,350000
2017-08,Washington,350000
2017-09,Washington,350000
2017-10,Washington,350000
2017-11,Washington,350000
2017-12,Washington,349950
