Date,State,Median_Listing_Price
1/31/2010,West Virginia,150000.0
2/28/2010,West Virginia,150000.0
3/31/2010,West Virginia,153900.0
4/30/2010,West Virginia,150000.0
5/31/2010,West Virginia,150000.0
6/30/2010,West Virginia,150000.0
7/31/2010,West Virginia,149900.0
8/31/2010,West Virginia,149999.0
9/30/2010,West Virginia,149900.0
10/31/2010,West Virginia,149900.0
11/30/2010,West Virginia,145040.0
12/31/2010,West Virginia,143500.0
1/31/2011,West Virginia,140000.0
2/28/2011,West Virginia,139900.0
3/31/2011,West Virginia,144200.0
4/30/2011,West Virginia,145000.0
5/31/2011,West Virginia,148500.0
6/30/2011,West Virginia,149000.0
7/31/2011,West Virginia,149000.0
8/31/2011,West Virginia,145950.0
9/30/2011,West Virginia,144500.0
10/31/2011,West Virginia,140000.0
11/30/2011,West Virginia,139900.0
12/31/2011,West Virginia,139000.0
1/31/2012,West Virginia,139500.0
2/29/2012,West Virginia,139000.0
3/31/2012,West Virginia,139900.0
4/30/2012,West Virginia,139900.0
5/31/2012,West Virginia,139900.0
6/30/2012,West Virginia,139900.0
7/31/2012,West Virginia,139500.0
8/31/2012,West Virginia,139000.0
9/30/2012,West Virginia,137900.0
10/31/2012,West Virginia,138000.0
11/30/2012,West Virginia,139500.0
12/31/2012,West Virginia,139000.0
1/31/2013,West Virginia,139900.0
2/28/2013,West Virginia,139990.0
3/31/2013,West Virginia,143900.0
4/30/2013,West Virginia,145000.0
5/31/2013,West Virginia,146000.0
6/30/2013,West Virginia,145800.0
7/31/2013,West Virginia,147500.0
8/31/2013,West Virginia,145900.0
9/30/2013,West Virginia,142500.0
10/31/2013,West Virginia,139900.0
11/30/2013,West Virginia,137000.0
12/31/2013,West Virginia,139900.0
1/31/2014,West Virginia,139900.0
2/28/2014,West Virginia,139999.5
3/31/2014,West Virginia,145900.0
4/30/2014,West Virginia,149900.0
5/31/2014,West Virginia,150000.0
6/30/2014,West Virginia,154000.0
7/31/2014,West Virginia,154000.0
8/31/2014,West Virginia,150000.0
9/30/2014,West Virginia,149900.0
10/31/2014,West Virginia,149900.0
11/30/2014,West Virginia,149900.0
12/31/2014,West Virginia,149900.0
1/31/2015,West Virginia,149000.0
2/28/2015,West Virginia,149900.0
3/31/2015,West Virginia,149900.0
4/30/2015,West Virginia,150000.0
5/31/2015,West Virginia,154900.0
6/30/2015,West Virginia,154900.0
7/31/2015,West Virginia,151900.0
8/31/2015,West Virginia,150000.0
9/30/2015,West Virginia,150000.0
10/31/2015,West Virginia,151500.0
11/30/2015,West Virginia,150000.0
12/31/2015,West Virginia,150000.0
1/31/2016,West Virginia,149900.0
2/29/2016,West Virginia,149900.0
3/31/2016,West Virginia,152000.0
4/30/2016,West Virginia,156900.0
5/31/2016,West Virginia,159000.0
6/30/2016,West Virginia,159500.0
7/31/2016,West Virginia,157000.0
8/31/2016,West Virginia,155000.0
9/30/2016,West Virginia,152500.0
10/31/2016,West Virginia,149999.0
11/30/2016,West Virginia,149900.0
12/31/2016,West Virginia,149000.0
1/31/2017,West Virginia,145000.0
2/28/2017,West Virginia,149000.0
3/31/2017,West Virginia,149900.0
4/30/2017,West Virginia,151500.0
5/31/2017,West Virginia,155000.0
6/30/2017,West Virginia,155000.0
7/31/2017,West Virginia,155000.0
8/31/2017,West Virginia,153000.0
9/30/2017,West Virginia,150000.0
10/31/2017,West Virginia,149900.0
11/30/2017,West Virginia,149900.0
12/31/2017,West Virginia,149900.0
