Date,State,Median_Listing_Price
2013-11,Wisconsin,158500
2013-12,Wisconsin,155000
2014-01,Wisconsin,153000
2014-02,Wisconsin,154950
2014-03,Wisconsin,159900
2014-04,Wisconsin,161000
2014-05,Wisconsin,165000
2014-06,Wisconsin,169900
2014-07,Wisconsin,169900
2014-08,Wisconsin,169900
2014-09,Wisconsin,169000
2014-10,Wisconsin,167000
2014-11,Wisconsin,164900
2014-12,Wisconsin,159900
2015-01,Wisconsin,159900
2015-02,Wisconsin,164800
2015-03,Wisconsin,167500
2015-04,Wisconsin,169900
2015-05,Wisconsin,172900
2015-06,Wisconsin,174900
2015-07,Wisconsin,174900
2015-08,Wisconsin,174900
2015-09,Wisconsin,174900
2015-10,Wisconsin,172000
2015-11,Wisconsin,169900
2015-12,Wisconsin,169900
2016-01,Wisconsin,169900
2016-02,Wisconsin,169900
2016-03,Wisconsin,174000
2016-04,Wisconsin,178500
2016-05,Wisconsin,179900
2016-06,Wisconsin,184900
2016-07,Wisconsin,184900
2016-08,Wisconsin,184000
2016-09,Wisconsin,179900
2016-10,Wisconsin,179900
2016-11,Wisconsin,179900
2016-12,Wisconsin,178900
2017-01,Wisconsin,175000
2017-02,Wisconsin,179900
2017-03,Wisconsin,184900
2017-04,Wisconsin,189900
2017-05,Wisconsin,195000
2017-06,Wisconsin,199500
2017-07,Wisconsin,198000
2017-08,Wisconsin,196900
2017-09,Wisconsin,194900
2017-10,Wisconsin,194000
2017-11,Wisconsin,189900
2017-12,Wisconsin,189900
