Date,State,Median_Listing_Price
2013-11,Wyoming,217500
2013-12,Wyoming,219000
2014-01,Wyoming,219000
2014-02,Wyoming,224900
2014-03,Wyoming,225000
2014-04,Wyoming,227000
2014-05,Wyoming,229900
2014-06,Wyoming,234900
2014-07,Wyoming,234900
2014-08,Wyoming,237000
2014-09,Wyoming,242000
2014-10,Wyoming,237500
2014-11,Wyoming,239000
2014-12,Wyoming,239000
2015-01,Wyoming,238000
2015-02,Wyoming,233250
2015-03,Wyoming,233450
2015-04,Wyoming,229900
2015-05,Wyoming,234900
2015-06,Wyoming,235900
2015-07,Wyoming,240000
2015-08,Wyoming,240000
2015-09,Wyoming,242000
2015-10,Wyoming,242000
2015-11,Wyoming,241700
2015-12,Wyoming,239000
2016-01,Wyoming,235000
2016-02,Wyoming,235000
2016-03,Wyoming,235540
2016-04,Wyoming,238000
2016-05,Wyoming,239900
2016-06,Wyoming,243500
2016-07,Wyoming,244400
2016-08,Wyoming,240000
2016-09,Wyoming,242000
2016-10,Wyoming,239900
2016-11,Wyoming,238100
2016-12,Wyoming,235000
2017-01,Wyoming,232500
2017-02,Wyoming,232000
2017-03,Wyoming,235000
2017-04,Wyoming,237000
2017-05,Wyoming,239000
2017-06,Wyoming,239900
2017-07,Wyoming,242500
2017-08,Wyoming,239900
2017-09,Wyoming,239000
2017-10,Wyoming,238000
2017-11,Wyoming,238000
2017-12,Wyoming,237500
